Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Salinity,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,B,2,H,6,139.0,149.0,101.98,102.030,101.519,101.566,35,2019-03-09 12:29:42,LIQ9718591,113332231,"shipboard, untreated",,
379,U1532,B,3,H,5,137.0,147.0,109.83,109.930,109.503,109.598,35,2019-03-09 12:29:43,LIQ9719201,113332241,"shipboard, untreated",,
379,U1532,B,4,H,5,137.0,147.0,119.34,119.440,118.876,118.970,36,2019-03-09 12:29:44,LIQ9720201,113332251,"shipboard, untreated",,
379,U1532,B,5,H,5,136.0,146.0,128.82,128.920,128.344,128.437,35,2019-03-09 12:29:45,LIQ9720911,113332261,"shipboard, untreated",,
379,U1532,B,6,H,5,136.0,146.0,138.33,138.430,137.874,137.968,35,2019-03-09 12:29:46,LIQ9721641,113332271,"shipboard, untreated",,
379,U1532,B,7,H,5,136.0,146.0,147.88,147.980,147.237,147.328,35,2019-03-09 12:29:47,LIQ9722291,113332281,"shipboard, untreated",,
379,U1532,B,8,H,3,137.0,147.0,154.39,154.490,154.341,154.440,35,2019-03-09 12:29:48,LIQ9722841,113332291,"shipboard, untreated",,
379,U1532,B,9,H,5,137.0,147.0,166.84,166.940,166.519,166.615,35,2019-03-09 12:29:49,LIQ9723331,113332301,"shipboard, untreated",,
379,U1532,B,10,H,3,140.0,150.0,173.53,173.630,173.530,173.630,35,2019-03-09 12:29:50,LIQ9731461,113332311,"shipboard, untreated",,
