Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Alkalinity (mM),pH (none),Timestamp (UTC),Text ID
374,U1524,A,1,H,1,0.0,0.0,0,0.050,0.000,0.050,2.819,7.773,2018-02-05 08:21:38,LIQ9361181
374,U1524,A,1,H,1,141.0,146.0,1.41,1.460,1.403,1.453,3.491,7.567,2018-02-04 15:16:09,LIQ9353801
374,U1524,A,2,H,6,145.0,150.0,12.95,13.000,12.659,12.707,5.454,7.604,2018-02-04 17:02:09,LIQ9354281
374,U1524,A,3,H,6,145.0,150.0,22.45,22.500,22.079,22.127,7.712,7.649,2018-02-04 17:42:59,LIQ9354771
374,U1524,A,4,H,3,145.0,150.0,27.45,27.500,27.450,27.500,8.863,7.662,2018-02-04 18:57:24,LIQ9355161
374,U1524,A,5,H,5,145.0,150.0,39.95,40.000,39.556,39.603,11.132,7.628,2018-02-04 19:41:59,LIQ9355591
374,U1524,A,6,H,6,145.0,150.0,50.63,50.680,50.158,50.205,13.544,7.645,2018-02-04 20:21:59,LIQ9356031
374,U1524,A,7,H,6,145.0,150.0,60.28,60.330,59.969,60.017,14.854,7.711,2018-02-04 21:36:39,LIQ9356541
374,U1524,A,8,H,3,145.0,150.0,65.45,65.500,65.450,65.500,16.519,7.713,2018-02-04 22:17:34,LIQ9357001
374,U1524,A,9,H,6,115.0,120.0,79.18,79.230,78.713,78.760,18.941,7.470,2018-02-04 23:56:19,LIQ9357601
374,U1524,A,10,H,6,145.0,150.0,89.02,89.070,88.561,88.608,20.941,7.769,2018-02-05 00:39:05,LIQ9358111
374,U1524,A,11,H,6,146.0,151.0,98.54,98.590,97.978,98.025,20.629,7.730,2018-02-05 01:22:14,LIQ9358651
374,U1524,A,12,H,6,140.0,145.0,107.74,107.790,107.204,107.251,20.812,7.743,2018-02-05 03:04:00,LIQ9359351
374,U1524,A,15,H,6,142.0,147.0,136.33,136.380,135.740,135.787,24.287,7.792,2018-02-05 07:08:49,LIQ9360721
374,U1524,A,18,H,2,142.0,152.0,158.89,158.940,158.825,158.874,25.016,7.707,2018-02-05 09:22:04,LIQ9361971
374,U1524,A,21,H,6,143.0,144.0,188.53,188.580,188.102,188.150,24.946,7.752,2018-02-05 15:21:49,LIQ9363491
374,U1524,A,24,H,6,132.0,142.0,216.69,216.740,216.484,216.533,24.592,7.754,2018-02-05 16:41:33,LIQ9365191
374,U1524,A,27,H,6,131.0,141.0,245.38,245.430,244.863,244.910,23.634,7.694,2018-02-05 22:17:08,LIQ9366111
