Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Alkalinity (mM),pH (none),Timestamp (UTC),Text ID
374,U1523,A,1,H,1,0.0,0.0,0,0.050,0.000,0.050,2.672,7.766,2018-01-29 12:30:34,LIQ9337301
374,U1523,A,1,H,5,145.0,150.0,7.46,7.510,7.451,7.501,3.814,7.680,2018-01-29 08:27:39,LIQ9336031
374,U1523,A,2,H,6,29.0,34.0,15.03,15.080,15.030,15.080,5.039,7.910,2018-01-29 11:50:49,LIQ9336471
374,U1523,A,6,F,3,72.0,82.0,40.62,40.670,40.589,40.639,5.669,7.818,2018-01-29 15:07:14,LIQ9337941
