Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Alkalinity (mM),pH (none),Timestamp (UTC),Text ID
374,U1524,B,1,H,1,0.0,0.0,0,0.100,0.000,0.099,2.604,7.711,2018-02-06 08:03:54,LIQ9369681
374,U1524,B,1,H,1,40.0,45.0,0.4,0.450,0.397,0.447,2.594,7.669,2018-02-06 18:08:53,LIQ9370991
374,U1524,B,1,H,1,85.0,90.0,0.85,0.900,0.843,0.893,2.844,7.616,2018-02-06 19:28:43,LIQ9370781
374,U1524,B,1,H,2,15.0,20.0,1.05,1.100,1.042,1.092,2.907,7.643,2018-02-06 14:33:58,LIQ9369741
374,U1524,B,1,H,2,55.0,60.0,1.45,1.500,1.439,1.489,3.102,7.509,2018-02-06 16:34:38,LIQ9370481
374,U1524,B,1,H,2,95.0,100.0,1.85,1.900,1.836,1.886,3.073,7.593,2018-02-06 20:49:53,LIQ9371441
374,U1524,B,1,H,3,15.0,20.0,2.25,2.300,2.233,2.283,3.067,7.585,2018-02-06 12:05:08,LIQ9371641
374,U1524,B,1,H,3,55.0,60.0,2.65,2.700,2.630,2.679,3.174,7.700,2018-02-06 22:09:18,LIQ9372241
374,U1524,B,1,H,4,15.0,20.0,3.45,3.500,3.424,3.474,3.271,7.747,2018-02-06 22:49:23,LIQ9371261
374,U1524,B,1,H,4,55.0,60.0,3.85,3.900,3.821,3.871,3.398,7.678,2018-02-06 21:29:53,LIQ9371351
374,U1524,B,1,H,4,95.0,100.0,4.25,4.300,4.218,4.268,3.552,7.566,2018-02-06 11:23:33,LIQ9370901
374,U1524,B,1,H,5,15.0,20.0,4.65,4.700,4.614,4.664,3.585,7.744,2018-02-06 23:55:38,LIQ9371081
374,U1524,B,1,H,5,55.0,60.0,5.05,5.100,5.011,5.061,3.573,7.641,2018-02-06 15:55:53,LIQ9370251
374,U1524,B,1,H,5,95.0,100.0,5.45,5.500,5.408,5.458,3.627,7.648,2018-02-06 10:09:48,LIQ9369921
374,U1524,B,1,H,6,15.0,20.0,5.85,5.900,5.805,5.855,3.640,7.663,2018-02-06 15:16:53,LIQ9370381
374,U1524,B,1,H,6,55.0,60.0,6.25,6.300,6.202,6.252,3.788,7.594,2018-02-06 13:04:33,LIQ9369831
374,U1524,B,1,H,6,95.0,100.0,6.65,6.700,6.599,6.649,3.956,7.731,2018-02-06 18:49:48,LIQ9370161
374,U1524,B,1,H,7,26.0,31.0,7.16,7.210,7.105,7.155,4.372,7.700,2018-02-06 13:53:09,LIQ9371171
374,U1524,B,1,H,7,66.0,71.0,7.56,7.610,7.502,7.552,4.376,7.696,2018-02-06 20:11:59,LIQ9370581
