Exp,Site,Hole,Core,Type,Sect,Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Top depth CCSF-379-U1533-ABCD-20191030 (m),Bottom depth CCSF-379-U1533-ABCD-20191030 (m),Element name,Element symbol,Concentration,Wavelength (nm),Excel filename,ICP file filename,Raw data filename,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,4.350,4.400,Boron,B (mM),467.32,249.678,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,4.350,4.400,Boron,B (mM),467.41,249.772,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,4.350,4.400,Barium,Ba (µM),0.48,230.424,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,4.350,4.400,Barium,Ba (µM),0.95,455.403,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,4.350,4.400,Calcium,Ca (mM),10.37,315.887,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,4.350,4.400,Calcium,Ca (mM),10.5,317.933,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,4.350,4.400,Calcium,Ca (mM),10.31,318.127,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,4.350,4.400,Iron,Fe (µM),rejected,238.204,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,4.350,4.400,Iron,Fe (µM),bdl,239.563,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,4.350,4.400,Iron,Fe (µM),bdl,259.94,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,4.350,4.400,Potassium,K (mM),11.12,766.491,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,4.350,4.400,Potassium,K (mM),11.13,769.897,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,4.350,4.400,Lithium,Li (µM),24.45,670.783,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,4.350,4.400,Magnesium,Mg (mM),50.25,202.582,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,4.350,4.400,Magnesium,Mg (mM),48.99,277.983,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
