Exp,Site,Hole,Core,Type,Sect,Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Element name,Element symbol,Concentration,Wavelength (nm),Excel filename,Text ID
374,U1522,A,1,R,1,0,0.100,0.000,0.100,Boron,B 249.678,0.384828862,,,LIQ9307801
374,U1522,A,1,R,1,0,0.100,0.000,0.100,Barium,Ba 455.403,bdl,,,LIQ9307801
374,U1522,A,1,R,1,0,0.100,0.000,0.100,Calcium,Ca 317.933,9.580838323,,,LIQ9307801
374,U1522,A,1,R,1,0,0.100,0.000,0.100,Potassium,K 766.491,9.846547315,,,LIQ9307801
374,U1522,A,1,R,1,0,0.100,0.000,0.100,Magnesium,Mg 279.553,49.2389963,,,LIQ9307801
374,U1522,A,1,R,1,0,0.100,0.000,0.100,Manganese,Mn 257.610,bdl,,,LIQ9307801
374,U1522,A,1,R,1,0,0.100,0.000,0.100,Sodium,Na 589.592,435.6676816,,,LIQ9307801
374,U1522,A,1,R,1,0,0.100,0.000,0.100,Sulfur,S 182.562,27.16781036,,,LIQ9307801
374,U1522,A,1,R,1,0,0.100,0.000,0.100,Silicon,Si 288.158,93.98362407,,,LIQ9307801
374,U1522,A,1,R,1,0,0.100,0.000,0.100,Strontium,Sr 421.552,87.19470441,,,LIQ9307801
374,U1522,A,1,R,1,1.42,1.520,1.420,1.520,Boron,B 249.678,0.448658649,,,LIQ9307711
374,U1522,A,1,R,1,1.42,1.520,1.420,1.520,Barium,Ba 455.403,bdl,,,LIQ9307711
374,U1522,A,1,R,1,1.42,1.520,1.420,1.520,Calcium,Ca 317.933,9.2814371260,,,LIQ9307711
374,U1522,A,1,R,1,1.42,1.520,1.420,1.520,Potassium,K 766.491,11.27877238,,,LIQ9307711
374,U1522,A,1,R,1,1.42,1.520,1.420,1.520,Magnesium,Mg 279.553,47.01768819,,,LIQ9307711
374,U1522,A,1,R,1,1.42,1.520,1.420,1.520,Manganese,Mn 257.610,15.83545686,,,LIQ9307711
374,U1522,A,1,R,1,1.42,1.520,1.420,1.520,Sodium,Na 589.592,434.8847325,,,LIQ9307711
374,U1522,A,1,R,1,1.42,1.520,1.420,1.520,Sulfur,S 182.562,26.88708671,,,LIQ9307711
374,U1522,A,1,R,1,1.42,1.520,1.420,1.520,Silicon,Si 288.158,572.0897116,,,LIQ9307711
374,U1522,A,1,R,1,1.42,1.520,1.420,1.520,Strontium,Sr 421.552,84.68386213,,,LIQ9307711
