Exp,Site,Hole,Core,Type,Sect,Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Element name,Element symbol,Concentration,Wavelength (nm),Excel filename,Text ID
374,U1524,B,1,H,1,0,0.100,0.000,0.099,Boron,B 249.772,382.9787234,,,LIQ9369691
374,U1524,B,1,H,1,0,0.100,0.000,0.099,Barium,Ba 455.403,bdl,,,LIQ9369691
374,U1524,B,1,H,1,0,0.100,0.000,0.099,Calcium,Ca 317.933,9.7055888220,,,LIQ9369691
374,U1524,B,1,H,1,0,0.100,0.000,0.099,Potassium,K 766.491,9.872122762,,,LIQ9369691
374,U1524,B,1,H,1,0,0.100,0.000,0.099,Lithium,Li 670.783,25.9328627,,,LIQ9369691
374,U1524,B,1,H,1,0,0.100,0.000,0.099,Magnesium,Mg 279.553,48.74537227,,,LIQ9369691
374,U1524,B,1,H,1,0,0.100,0.000,0.099,Manganese,"Mn 257.610 ",bdl,,,LIQ9369691
374,U1524,B,1,H,1,0,0.100,0.000,0.099,Sodium,Na 589.592,433.6233145,,,LIQ9369691
374,U1524,B,1,H,1,0,0.100,0.000,0.099,Sulfur,S 182.562,26.79351216,,,LIQ9369691
374,U1524,B,1,H,1,0,0.100,0.000,0.099,Silicon,Si 288.158,131.007476,,,LIQ9369691
374,U1524,B,1,H,1,0,0.100,0.000,0.099,Strontium,Sr 421.552,87.65122118,,,LIQ9369691
374,U1524,B,1,H,1,0.4,0.450,0.397,0.447,Boron,B 249.772,432.9324699,,,LIQ9371001
374,U1524,B,1,H,1,0.4,0.450,0.397,0.447,Barium,Ba 455.403,bdl,,,LIQ9371001
374,U1524,B,1,H,1,0.4,0.450,0.397,0.447,Calcium,Ca 317.933,9.406187625,,,LIQ9371001
374,U1524,B,1,H,1,0.4,0.450,0.397,0.447,Potassium,K 766.491,10.92071611,,,LIQ9371001
374,U1524,B,1,H,1,0.4,0.450,0.397,0.447,Lithium,Li 670.783,30.25500648,,,LIQ9371001
374,U1524,B,1,H,1,0.4,0.450,0.397,0.447,Magnesium,Mg 279.553,43.72686137,,,LIQ9371001
374,U1524,B,1,H,1,0.4,0.450,0.397,0.447,Manganese,"Mn 257.610 ",bdl,,,LIQ9371001
374,U1524,B,1,H,1,0.4,0.450,0.397,0.447,Sodium,Na 589.592,438.9299696,,,LIQ9371001
374,U1524,B,1,H,1,0.4,0.450,0.397,0.447,Sulfur,S 182.562,26.76232065,,,LIQ9371001
374,U1524,B,1,H,1,0.4,0.450,0.397,0.447,Silicon,Si 288.158,475.9700961,,,LIQ9371001
374,U1524,B,1,H,1,0.4,0.450,0.397,0.447,Strontium,Sr 421.552,83.65669938,,,LIQ9371001
374,U1524,B,1,H,1,0.85,0.900,0.843,0.893,Boron,B 249.772,465.3098982,,,LIQ9370791
374,U1524,B,1,H,1,0.85,0.900,0.843,0.893,Barium,Ba 455.403,bdl,,,LIQ9370791
374,U1524,B,1,H,1,0.85,0.900,0.843,0.893,Calcium,Ca 317.933,9.605788423,,,LIQ9370791
374,U1524,B,1,H,1,0.85,0.900,0.843,0.893,Potassium,K 766.491,11.09974425,,,LIQ9370791
374,U1524,B,1,H,1,0.85,0.900,0.843,0.893,Lithium,Li 670.783,27.37357729,,,LIQ9370791
374,U1524,B,1,H,1,0.85,0.900,0.843,0.893,Magnesium,Mg 279.553,41.38214726,,,LIQ9370791
374,U1524,B,1,H,1,0.85,0.900,0.843,0.893,Manganese,"Mn 257.610 ",20.74990899,,,LIQ9370791
374,U1524,B,1,H,1,0.85,0.900,0.843,0.893,Sodium,Na 589.592,434.2322749,,,LIQ9370791
374,U1524,B,1,H,1,0.85,0.900,0.843,0.893,Sulfur,S 182.562,27.07423581,,,LIQ9370791
374,U1524,B,1,H,1,0.85,0.900,0.843,0.893,Silicon,Si 288.158,501.9579922,,,LIQ9370791
374,U1524,B,1,H,1,0.85,0.900,0.843,0.893,Strontium,Sr 421.552,84.11321616,,,LIQ9370791
