Exp,Site,Hole,Core,Type,Sect,Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Element name,Element symbol,Concentration,Wavelength (nm),Excel filename,Text ID
374,U1521,A,1,R,3,3.4,3.500,3.400,3.500,Boron,B 249.678,0.388493201,,,LIQ9281661
374,U1521,A,1,R,3,3.4,3.500,3.400,3.500,Barium,Ba 455.403,bdl,,,LIQ9281661
374,U1521,A,1,R,3,3.4,3.500,3.400,3.500,Calcium,Ca 317.933,9.481037924,,,LIQ9281661
374,U1521,A,1,R,3,3.4,3.500,3.400,3.500,Potassium,K 766.491,11.76470588,,,LIQ9281661
374,U1521,A,1,R,3,3.4,3.500,3.400,3.500,Magnesium,Mg 279.553,42.78074866,,,LIQ9281661
374,U1521,A,1,R,3,3.4,3.500,3.400,3.500,Sodium,Na 589.592,421.0526316,,,LIQ9281661
374,U1521,A,1,R,3,3.4,3.500,3.400,3.500,Sulfur,S 182.562,26.20087336,,,LIQ9281661
374,U1521,A,1,R,3,3.4,3.500,3.400,3.500,Silicon,Si 288.158,676.5056702,,,LIQ9281661
374,U1521,A,1,R,3,3.4,3.500,3.400,3.500,Strontium,Sr 421.552,91.3033554,,,LIQ9281661
374,U1521,A,3,R,1,18.36,18.460,18.360,18.460,Boron,B 249.678,0.610489316,,,LIQ9282391
374,U1521,A,3,R,1,18.36,18.460,18.360,18.460,Barium,Ba 455.403,bdl,,,LIQ9282391
374,U1521,A,3,R,1,18.36,18.460,18.360,18.460,Calcium,Ca 317.933,7.984031936,,,LIQ9282391
374,U1521,A,3,R,1,18.36,18.460,18.360,18.460,Potassium,K 766.491,11.76470588,,,LIQ9282391
374,U1521,A,3,R,1,18.36,18.460,18.360,18.460,Magnesium,Mg 279.553,39.48992184,,,LIQ9282391
374,U1521,A,3,R,1,18.36,18.460,18.360,18.460,Sodium,Na 589.592,422.7925185,,,LIQ9282391
374,U1521,A,3,R,1,18.36,18.460,18.360,18.460,Sulfur,S 182.562,19.33873986,,,LIQ9282391
374,U1521,A,3,R,1,18.36,18.460,18.360,18.460,Silicon,Si 288.158,947.1079383,,,LIQ9282391
374,U1521,A,3,R,1,18.36,18.460,18.360,18.460,Strontium,Sr 421.552,93.58593928,,,LIQ9282391
374,U1521,A,3,R,1,18.36,18.460,18.360,18.460,Boron,B 249.678,0.610489316,,,LIQ9282391
374,U1521,A,3,R,1,18.36,18.460,18.360,18.460,Barium,Ba 455.403,bdl,,,LIQ9282391
374,U1521,A,3,R,1,18.36,18.460,18.360,18.460,Calcium,Ca 317.933,7.984031936,,,LIQ9282391
