Exp,Site,Hole,Core,Type,Sect,Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Element name,Element symbol,Concentration,Wavelength (nm),Excel filename,Text ID
374,U1525,A,1,H,1,0,0.050,0.000,0.050,Boron,B 249.772,408.880666,,,LIQ9375101
374,U1525,A,1,H,1,0,0.050,0.000,0.050,Barium,Ba 455.403,bdl,,,LIQ9375101
374,U1525,A,1,H,1,0,0.050,0.000,0.050,Calcium,Ca 317.933,10.07984032,,,LIQ9375101
374,U1525,A,1,H,1,0,0.050,0.000,0.050,Iron,Fe 238.204,bdl,,,LIQ9375101
374,U1525,A,1,H,1,0,0.050,0.000,0.050,Potassium,K 766.491,10.43478261,,,LIQ9375101
374,U1525,A,1,H,1,0,0.050,0.000,0.050,Lithium,Li 670.783,30.25500648,,,LIQ9375101
374,U1525,A,1,H,1,0,0.050,0.000,0.050,Magnesium,Mg 279.553,49.65034965,,,LIQ9375101
374,U1525,A,1,H,1,0,0.050,0.000,0.050,Manganese,"Mn 257.610 ",3.640334911,,,LIQ9375101
374,U1525,A,1,H,1,0,0.050,0.000,0.050,Sodium,Na 589.592,456.3288386,,,LIQ9375101
374,U1525,A,1,H,1,0,0.050,0.000,0.050,Sulfur,S 182.562,27.97878977,,,LIQ9375101
374,U1525,A,1,H,1,0,0.050,0.000,0.050,Silicon,Si 288.158,168.743325,,,LIQ9375101
374,U1525,A,1,H,1,0,0.050,0.000,0.050,Strontium,Sr 421.552,91.1892262,,,LIQ9375101
374,U1525,A,1,H,3,4.45,4.500,4.440,4.490,Boron,B 249.772,483.8112858,,,LIQ9373861
374,U1525,A,1,H,3,4.45,4.500,4.440,4.490,Barium,Ba 455.403,bdl,,,LIQ9373861
374,U1525,A,1,H,3,4.45,4.500,4.440,4.490,Calcium,Ca 317.933,10.37924152,,,LIQ9373861
374,U1525,A,1,H,3,4.45,4.500,4.440,4.490,Iron,Fe 238.204,bdl,,,LIQ9373861
374,U1525,A,1,H,3,4.45,4.500,4.440,4.490,Potassium,K 766.491,10.74168798,,,LIQ9373861
374,U1525,A,1,H,3,4.45,4.500,4.440,4.490,Lithium,Li 670.783,24.49214811,,,LIQ9373861
