Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Organic carbon (wt%),Carbon (wt%),Hydrogen (wt%),Nitrogen (wt%),Sulfur (wt%),Container number,Sample mass (mg),CHNS datafile
374,U1524,A,1,H,1,W,61.0,62.0,0.61,0.620,0.607,0.617,,0.423553258180618,0,0.0362311266362667,0,8,12.1472,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,1,H,1,W,85.0,86.0,0.85,0.860,0.846,0.856,,0.265751570463181,0,0.0260784663259983,0,9,13.6599,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,1,H,2,W,60.0,61.0,2.06,2.070,2.050,2.060,,0.222566485404968,0,0.0270137619227171,0,10,11.5859,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,1,H,3,W,47.0,48.0,3.39,3.400,3.373,3.383,,0.330049097537994,0,0.0266816820949316,0,11,12.5139,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,2,H,3,W,70.0,71.0,7.7,7.710,7.579,7.589,,0.121668815612793,0,0.0177687704563141,0,12,13.1494,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,2,H,6,W,15.0,16.0,11.65,11.660,11.401,11.411,,0.505038559436798,0,0.0345112569630146,0,13,12.4159,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,3,H,1,W,80.0,81.0,14.3,14.310,14.267,14.276,,0.410727828741074,0,0.025059113278985,0,14,12.2912,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,3,H,3,W,80.0,81.0,17.3,17.310,17.143,17.152,,0.570747673511505,0,0.0410835891962051,0,15,12.3819,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,3,H,6,W,84.0,85.0,21.84,21.850,21.494,21.504,,0.148484602570534,0,0.0225778855383396,0,16,11.0701,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,4,H,2,W,35.0,36.0,24.85,24.860,24.850,24.860,,0.381568014621735,0,0.0329551808536053,0,17,11.7269,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,4,H,4,W,30.0,31.0,27.8,27.810,27.800,27.810,,0.53863799571991,0,0.0369007848203182,0,18,12.8957,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,5,H,1,W,65.0,66.0,33.15,33.160,33.116,33.125,,0.5500248670578,0,0.0391823649406433,0,19,12.9827,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,5,H,5,W,103.0,104.0,39.53,39.540,39.159,39.168,,0.101363845169544,0,0.0156375616788864,0,20,12.6822,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,5,H,6,W,10.0,11.0,40.1,40.110,39.699,39.708,,0.151997938752174,0,0.0279727634042501,0,21,12.7956,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,6,H,1,W,87.5,88.5,42.875,42.885,42.827,42.837,,0.585580766201019,0,0.0232759676873684,0,40,12.8936,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,6,H,5,W,67.0,68.0,48.64,48.650,48.276,48.286,,0.323184549808502,0,0.0307513698935509,0,41,12.508,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,7,H,1,W,86.0,87.0,52.36,52.370,52.329,52.339,,0.582634806632996,0,0.0396259054541588,0,23,12.8109,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,7,H,5,W,38.0,39.0,57.75,57.760,57.529,57.538,,0.182475373148918,0,0.0272912941873074,0,24,12.4541,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,8,H,1,W,41.0,42.0,61.41,61.420,61.410,61.420,,0.150802239775658,0,0.0236068852245808,0,25,11.2586,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,8,H,2,W,18.0,19.0,62.68,62.690,62.680,62.690,,0.547728061676025,0,0.0411733277142048,0,26,12.9654,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,9,H,1,W,71.0,72.0,71.21,71.220,71.172,71.181,,0.631979882717133,0,0.0423649922013283,0,27,12.1336,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,9,H,4,W,62.0,63.0,75.63,75.640,75.354,75.363,,0.234421730041504,0,0.026913546025753,0,28,12.3606,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,9,H,5,W,90.0,91.0,77.41,77.420,77.039,77.048,,0.132080927491188,0,0.0192503612488508,0,29,12.1153,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,10,H,1,W,44.0,45.0,80.44,80.450,80.418,80.427,,0.635066151618958,0,0.0499187856912613,0,30,12.0704,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,10,H,5,W,83.0,84.0,86.89,86.900,86.540,86.549,,0.331661701202393,0,0.0383623242378235,0,,12.1823,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,10,H,7,W,19.0,20.0,89.26,89.270,88.788,88.798,,0.635910928249359,0,0.0412379913032055,0,32,12.095,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,11,H,3,W,107.0,108.0,93.59,93.600,93.335,93.345,,0.270158290863037,0,0.0300370007753372,0,,12.3305,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,11,H,5,W,79.0,80.0,96.34,96.350,95.915,95.924,,0.583149969577789,0,0.0390841960906982,0,34,11.9541,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,12,H,3,W,122.0,123.0,103.14,103.150,102.886,102.896,,0.192612692713738,0,0.031211132183671,0,35,12.1036,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,12,H,5,W,5.0,6.0,104.93,104.940,104.567,104.576,,0.569574475288391,0,0.0502542965114117,0,42,13.7255,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,12,H,5,W,115.0,116.0,106.03,106.040,105.600,105.609,,0.14488972723484,0,0.0179940052330494,0,43,13.8235,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,13,H,1,W,77.0,78.0,109.27,109.280,109.223,109.232,,0.654605150222778,0,0.0459901578724384,0,44,14.1207,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,13,H,5,W,87.0,88.0,115.27,115.280,114.855,114.864,,0.297160357236862,0,0.037470318377018,0,38,12.589,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,14,H,3,W,70.0,71.0,121.71,121.720,121.699,121.709,,0.191390037536621,0,0.0302203241735697,0,37,12.2557,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,14,H,5,W,143.0,144.0,125.47,125.480,125.447,125.457,,0.698026359081268,0,0.0549611188471317,0,36,11.9968,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,15,H,1,W,74.0,75.0,128.24,128.250,128.191,128.200,,0.706421971321106,0,0.0504631213843822,0,45,12.8859,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,15,H,4,W,69.0,70.0,132.66,132.670,132.315,132.324,,0.687768638134003,0,0.0455377548933029,0,46,11.4605,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,15,H,7,W,43.0,44.0,136.81,136.820,136.188,136.198,,0.410460591316223,0,0.0234892927110195,0,47,13.3658,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,16,H,1,W,53.0,54.0,137.53,137.540,137.523,137.533,,0.654031991958618,0,0.0445770472288132,0,48,15.5907,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,16,H,4,W,38.0,39.0,141.76,141.770,141.700,141.710,,0.260270088911057,0,0.0324110984802246,0,49,13.5442,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,16,H,7,W,35.0,36.0,146.11,146.120,145.996,146.006,,0.556467413902283,0,0.0518840849399567,0,50,13.6459,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,17,H,1,W,110.0,111.0,147.6,147.610,147.536,147.545,,0.285585761070251,0,0.0356841273605824,0,51,13.0371,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,17,H,3,W,58.0,59.0,150,150.010,149.795,149.804,,0.678809940814972,0,0.0536774322390556,0,53,14.4966,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,17,H,7,W,44.0,45.0,155.81,155.820,155.265,155.275,,0.67818021774292,0,0.0508914180099964,0,54,12.0577,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,18,H,1,W,37.0,38.0,156.37,156.380,156.362,156.371,,0.716566205024719,0,0.0516669265925884,0,55,12.7085,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,18,H,3,W,14.0,15.0,159.13,159.140,159.060,159.070,,0.684627056121826,0,0.0449998900294304,0,56,12.9656,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,19,H,1,W,85.0,87.0,161.65,161.670,161.613,161.632,,0.638417899608612,0,0.0503657050430775,0,57,13.6113,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,19,H,3,W,31.0,33.0,164.05,164.070,163.910,163.929,,0.628507912158966,0,0.0519487001001835,0,58,12.2394,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,19,H,6,W,54.0,55.0,168.73,168.740,168.387,168.396,,0.137209489941597,0,0.0273910742253065,0,59,15.2201,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,20,H,1,W,58.0,59.0,170.88,170.890,170.832,170.842,,0.670383274555206,0,0.0508198030292988,0,60,13.6121,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,20,H,4,W,66.0,67.0,175.33,175.340,174.917,174.926,,0.696510970592499,0,0.0507734455168247,0,61,12.7038,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,20,H,7,W,85.0,86.0,179.92,179.930,179.130,179.139,,0.706401824951172,0,0.0518132410943508,0,62,13.2238,374-CHNS-45853681-374_U1524_run1_wtpct.XLS
374,U1524,A,21,H,1,W,72.0,73.0,180.52,180.530,180.485,180.494,,0.7504,0,0.0549,0,8,13.1207,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1524,A,21,H,4,W,77.0,78.0,184.94,184.950,184.688,184.698,,0.6493,0,0.0564,0,9,13.3001,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1524,A,21,H,7,W,56.0,57.0,189.1,189.110,188.645,188.654,,0.6632,0,0.0554,0,10,12.1254,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1524,A,22,H,4,W,123.0,124.0,194.96,194.970,194.465,194.475,,0.2255,0,0.0388,0,11,13.8137,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1524,A,22,H,6,W,72.0,73.0,197.41,197.420,196.701,196.710,,0.6680,0,0.0517,0,12,13.0158,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1524,A,23,H,2,W,4.0,5.0,200.26,200.270,200.199,200.209,,0.1924,0,0.0355,0,13,14.4923,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1524,A,23,H,3,W,83.0,84.0,202.47,202.480,202.318,202.327,,0.6361,0,0.0589,0,14,13.1857,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1524,A,24,H,3,W,10.0,11.0,211.25,211.260,211.178,211.187,,0.1420,0,0.0333,0,15,13.5876,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1524,A,24,H,4,W,50.0,51.0,213.02,213.030,212.904,212.913,,0.6422,0,0.0546,0,16,12.4426,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1524,A,24,H,6,W,90.0,91.0,216.27,216.280,216.074,216.084,,0.6846,0,0.0550,0,17,12.5604,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
