Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Organic carbon (wt%),Carbon (wt%),Hydrogen (wt%),Nitrogen (wt%),Sulfur (wt%),Container number,Sample mass (mg),CHNS datafile
374,U1521,A,1,R,1,W,51.0,52.0,0.51,0.520,0.510,0.520,,0.1708,,0.0125,,,12.3539,
374,U1521,A,1,R,3,W,46.0,47.0,2.96,2.970,2.960,2.970,,0.4241,,0.0323,,,11.8208,
374,U1521,A,2,R,1,W,31.0,32.0,7.71,7.720,7.710,7.720,,0.7439,,0.0474,,,11.9219,
374,U1521,A,3,R,1,W,93.0,94.0,17.93,17.940,17.930,17.940,,0.6652,,0.0358,,,15.2407,
374,U1521,A,4,R,1,W,61.0,62.0,27.21,27.220,27.210,27.220,,0.955,,0.0663,,,12.1973,
374,U1521,A,4,R,3,W,46.0,47.0,30.06,30.070,30.060,30.070,,0.9951,,0.0746,,,12.4219,
374,U1521,A,5,R,1,W,83.0,84.0,37.03,37.040,37.030,37.040,,0.7562,,0.0641,,,12.5168,
374,U1521,A,5,R,3,W,24.0,25.0,39.44,39.450,39.440,39.450,,0.8012,,0.0544,,,14.9076,
374,U1521,A,8,R,1,W,72.0,73.0,65.72,65.730,65.720,65.730,,0.8757,,0.0629,,,12.2133,
374,U1521,A,9,R,1,W,121.0,122.0,75.81,75.820,75.810,75.820,,0.802,,0.0779,,,12.9678,
374,U1521,A,11,R,2,W,23.0,24.0,95.04,95.050,95.040,95.050,,1.1797,,0.0901,,,12.03,
374,U1521,A,12,R,1,W,96.0,97.0,104.36,104.370,104.360,104.370,,5.7077,,0.0704,,,12.6448,
374,U1521,A,12,R,1,W,96.0,97.0,104.36,104.370,104.360,104.370,,5.5804,,0.0762,,,11.9459,
374,U1521,A,12,R,3,W,52.0,53.0,106.31,106.320,106.310,106.320,,1.1022,,0.0931,,,13.1469,
374,U1521,A,12,R,3,W,52.0,53.0,106.31,106.320,106.310,106.320,,1.104,,0.0915,,,11.9422,
374,U1521,A,13,R,6,W,16.0,17.0,119.79,119.800,119.790,119.800,,1.138,,0.0878,,,11.9004,
374,U1521,A,16,R,1,W,24.0,25.0,142.04,142.050,142.040,142.050,,0.9281,,0.0838,,,12.2677,
374,U1521,A,16,R,4,W,68.0,69.0,145.83,145.840,145.830,145.840,,1.0789,,0.0821,,,12.5919,
374,U1521,A,17,R,3,W,72.0,73.0,154.3,154.310,154.300,154.310,,1.2317,,0.0784,,,12.0438,
374,U1521,A,18,R,1,W,68.0,69.0,161.68,161.690,161.680,161.690,,1.0872,,0.0897,,,13.0168,
374,U1521,A,18,R,4,W,38.0,39.0,164.51,164.520,164.510,164.520,,0.7846,,0.0753,,,13.3628,
374,U1521,A,19,R,2,W,48.0,49.0,172.2,172.210,172.200,172.210,,1.2435,,0.0906,,,12.9004,
374,U1521,A,19,R,5,W,65.0,66.0,176.41,176.420,176.410,176.420,,1.1396,,0.0892,,,11.8085,
374,U1521,A,20,R,1,W,66.0,67.0,180.86,180.870,180.860,180.870,,1.0339,,0.1008,,,11.2449,
374,U1521,A,20,R,7,W,51.0,52.0,188.44,188.450,188.440,188.450,,1.1725,,0.0918,,,12.3318,
374,U1521,A,21,R,1,W,76.0,77.0,190.56,190.570,190.560,190.570,,0.9676,,0.0822,,,13.4759,
374,U1521,A,21,R,3,W,49.0,50.0,193.05,193.060,193.050,193.060,,0.9567,,0.0711,,,10.6035,
374,U1521,A,22,R,1,W,59.0,60.0,199.99,200.000,199.990,200.000,,1.0568,,0.0824,,,11.8187,
374,U1521,A,22,R,4,W,48.0,49.0,203.97,203.980,203.970,203.980,,1.0385,,0.0751,,,13.0337,
374,U1521,A,23,R,1,W,70.0,71.0,209.7,209.710,209.700,209.710,,1.5262,0,0.0527,0,3,11.5719,374-CHNS-45352701-X374_U1521A_run2_weight_upload.XLS
374,U1521,A,24,R,1,W,80.0,81.0,219.4,219.410,219.400,219.410,,1.3857,0,0.0750,0,4,12.1734,374-CHNS-45352701-X374_U1521A_run2_weight_upload.XLS
374,U1521,A,24,R,2,W,43.0,44.0,220.41,220.420,220.410,220.420,,0.9303,0,0.0385,0,5,11.1782,374-CHNS-45352701-X374_U1521A_run2_weight_upload.XLS
374,U1521,A,25,R,2,W,50.0,51.0,229.85,229.860,229.850,229.860,,1.1809,0,0.0589,0,6,12.6067,374-CHNS-45352701-X374_U1521A_run2_weight_upload.XLS
374,U1521,A,26,R,2,W,37.0,38.0,239.32,239.330,239.320,239.330,,1.0329,0,0.0617,0,7,17.0598,374-CHNS-45352701-X374_U1521A_run2_weight_upload.XLS
374,U1521,A,27,R,1,W,51.0,52.0,247.61,247.620,247.610,247.620,,1.0844,0,0.0552,0,8,12.3545,374-CHNS-45352701-X374_U1521A_run2_weight_upload.XLS
374,U1521,A,28,R,3,W,67.0,68.0,259.98,259.990,259.980,259.990,,1.0025,0,0.0643,0,9,12.5747,374-CHNS-45352701-X374_U1521A_run2_weight_upload.XLS
374,U1521,A,29,R,3,W,83.0,84.0,269.31,269.320,269.310,269.320,,1.0783,0,0.0610,0,10,11.3719,374-CHNS-45352701-X374_U1521A_run2_weight_upload.XLS
374,U1521,A,30,R,1,W,35.0,36.0,276.05,276.060,276.050,276.060,,1.1836,0,0.0528,0,12,11.7072,374-CHNS-45352701-X374_U1521A_run2_weight_upload.XLS
374,U1521,A,30,R,1,W,76.0,77.0,276.46,276.470,276.460,276.470,,0.8085,0,0.0602,0,11,12.6133,374-CHNS-45352701-X374_U1521A_run2_weight_upload.XLS
