Exp,Site,Hole,Core,Type,Depth CSF-A (m),Depth CSF-B (m),Hx (nT),Hv (nT),Azimuth (deg),Dip (deg),Tool acceleration (g),Magnetic dip (deg),Total magnetic field (nT),Magnetic tool face (deg),Temperature (deg C),Tool ID,Excel filename,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,B,2,H,93.1,93.100,-20195,-3410,278.5,-89,,61.2,42390,170,0.3,Icefield 2007,379-ORIENT-47960241-Exp379_U1532B_1.xlsx,2019-02-07 14:35:13,CORE9718131,112871371,,,
379,U1532,B,3,H,102.6,102.600,-1638,19895,274,-89.2,,61.4,41929,264.2,-0.3,Icefield 2007,379-ORIENT-47960241-Exp379_U1532B_1.xlsx,2019-02-07 14:35:18,CORE9718851,112871381,,,
379,U1532,B,4,H,112.1,112.100,-2069,-20592,269.5,-88.9,,60.9,42222,94.9,0.6,Icefield 2043,379-ORIENT-47960191-Exp379_U1532B_2.xlsx,2019-02-07 14:40:05,CORE9719811,112871451,,,
379,U1532,B,5,H,121.6,121.600,15181,-13914,291.3,-89.2,,60.8,42160,41.2,-0.5,Icefield 2043,379-ORIENT-47960191-Exp379_U1532B_2.xlsx,2019-02-07 14:40:09,CORE9720561,112871461,,,
379,U1532,B,6,H,131.1,131.100,-14924,13106,284.4,-89.1,,61.7,41726,219.9,-0.4,Icefield 2043,379-ORIENT-47960191-Exp379_U1532B_2.xlsx,2019-02-07 14:40:13,CORE9721151,112871471,,,
379,U1532,B,7,H,140.6,140.600,8548,17504,303.3,-89.1,,62.1,41071,294.8,-0.4,Icefield 2043,379-ORIENT-47960191-Exp379_U1532B_2.xlsx,2019-02-07 14:40:17,CORE9721901,112871481,,,
379,U1532,B,8,H,150.1,150.100,4947,-20265,300.6,-89.3,,60.6,42108,75.3,-0.4,Icefield 2043,379-ORIENT-47960191-Exp379_U1532B_2.xlsx,2019-02-07 14:40:21,CORE9722391,112871491,,,
379,U1532,B,9,H,159.6,159.600,-8328,-17868,325.1,-89.3,,62.6,42165,114.3,0,Icefield 2007,379-ORIENT-47960231-Exp379_U1532B_3.xlsx,2019-02-07 14:30:44,CORE9723011,112871331,,,
