Exp,Site,Hole,Core,Type,Sect,A/W,Top offset on section (cm),Bot offset on section (cm),Top depth CSF-A (m),Top depth CSF-B (m),Inorganic carbon (wt%),Calcium carbonate (wt%),Total carbon (wt%),Hydrogen (wt%),Nitrogen (wt%),Sulfur (wt%),Organic carbon (wt%) by difference (CHNS-COUL),Sample comments
379,U1532,B,2,H,2,W,26.0,27.0,94.86,94.769,0.031,0.258,0.2947,0.0,0.0315,0.0766,0.26,
379,U1532,B,2,H,5,W,32.0,33.0,99.42,99.092,0.057,0.475,0.3065,0.0,0.0444,0.0827,0.25,
379,U1532,B,2,H,5,W,32.0,33.0,99.42,99.092,,,0.2869,0.0,0.0149,0.0581,,
379,U1532,B,3,H,3,W,84.0,85.0,106.36,106.19,0.051,0.425,0.3768,0.0,0.0472,0.0537,0.33,
379,U1532,B,3,H,3,W,84.0,85.0,106.36,106.19,,,0.3687,0.0,0.0781,0.0913,,
379,U1532,B,3,H,3,W,84.0,85.0,106.36,106.19,,,0.359,0.0,0.0045,0.0804,,
379,U1532,B,3,H,3,W,84.0,85.0,106.36,106.19,,,0.3687,0.0,0.0781,0.0913,,
379,U1532,B,3,H,6,W,35.0,36.0,110.28,109.933,0.213,1.775,0.4154,0.0,0.0254,0.0543,0.2,
379,U1532,B,4,H,2,W,110.0,111.0,114.67,114.506,0.025,0.208,0.3923,0.0,0.0129,0.0768,0.37,
379,U1532,B,4,H,2,W,110.0,111.0,114.67,114.506,,,0.4175,0.0,0.0253,0.104,,
379,U1532,B,4,H,5,W,62.0,63.0,118.59,118.174,0.195,1.625,0.3808,0.0,0.0436,0.0829,0.19,
379,U1532,B,4,H,5,W,62.0,63.0,118.59,118.174,,,0.3808,0.0,0.0436,0.0829,,
379,U1532,B,4,H,5,W,62.0,63.0,118.59,118.174,,,0.3865,0.0,0.0031,0.0638,,
379,U1532,B,4,H,5,W,62.0,63.0,118.59,118.174,,,0.3996,0.0,0.0164,0.0952,,
379,U1532,B,5,H,2,W,88.0,89.0,123.94,123.786,0.036,0.3,0.1068,0.0,0.0252,0.0923,0.07,
379,U1532,B,5,H,5,W,55.0,56.0,128.01,127.588,0.185,1.542,0.3672,0.0,0.0072,0.0556,0.18,
379,U1532,B,5,H,5,W,55.0,56.0,128.01,127.588,,,0.3821,0.0,0.0205,0.0534,,
379,U1532,B,6,H,3,W,12.0,13.0,134.14,133.948,0.018,0.15,0.1025,0.0,0.0166,0.1094,0.08,
379,U1532,B,6,H,6,W,29.0,30.0,138.73,138.249,0.278,2.317,0.4468,0.0,0.0347,0.0821,0.17,
379,U1532,B,7,H,2,W,108.0,109.0,143.14,142.916,0.033,0.275,0.3486,0.0,0.0017,0.0365,0.32,
379,U1532,B,7,H,2,W,108.0,109.0,143.14,142.916,,,0.3593,0.0,0.0477,0.084,,
379,U1532,B,7,H,4,W,80.0,81.0,145.83,145.368,0.015,0.125,0.1426,0.0,0.0397,0.0606,0.13,
379,U1532,B,7,H,5,W,61.0,62.0,147.13,146.553,0.034,0.283,0.0453,0.0,0.0089,0.013,0.01,
379,U1532,B,8,H,2,W,70.0,71.0,152.26,152.235,0.163,1.358,0.4291,0.0,0.0152,0.0915,0.27,
379,U1532,B,8,H,2,W,70.0,71.0,152.26,152.235,,,0.4065,0.0,0.0134,0.0249,,
379,U1532,B,8,H,5,W,20.0,21.0,156.16,156.091,0.033,0.275,0.0776,0.0,0.0235,0.041,0.04,
379,U1532,B,8,H,5,W,20.0,21.0,156.16,156.091,,,0.0712,0.0,0.0013,0.0546,,
379,U1532,B,9,H,2,W,32.0,33.0,161.38,161.301,0.228,1.9,0.4539,0.0,0.0257,0.1046,0.23,
379,U1532,B,9,H,4,W,108.0,109.0,165.08,164.837,0.304,2.533,0.4572,0.0,0.0434,0.1321,0.15,
379,U1532,B,10,H,2,W,43.0,44.0,171.04,171.04,0.394,3.283,0.4371,0.0,0.0284,0.0328,0.04,
379,U1532,B,11,F,1,W,66.0,67.0,176.26,176.218,0.323,2.692,0.4836,0.0,0.0197,0.0532,0.16,
379,U1532,B,11,F,3,W,108.0,109.0,179.69,179.429,0.077,0.642,0.1748,0.0,0.027,0.0241,0.1,
