Exp,Site,Hole,Core,Type,Sect,Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Element name,Element symbol,Concentration,Wavelength (nm),Excel filename,ICP file filename,Raw data filename,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Barium,Ba (µM),1.4,230.424,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Barium,Ba (µM),1.47,455.403,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Calcium,Ca (mM),24.15,315.887,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Calcium,Ca (mM),24.2,317.933,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Calcium,Ca (mM),24.28,318.127,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Iron,Fe (µM),3.27,238.204,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Iron,Fe (µM),3.25,239.563,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Iron,Fe (µM),2.89,259.94,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Potassium,K (mM),4.23,766.491,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Potassium,K (mM),3.93,769.897,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Lithium,Li (µM),249.95,670.783,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Magnesium,Mg (mM),47.93,202.582,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Magnesium,Mg (mM),47.17,277.983,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Magnesium,Mg (mM),48.05,279.078,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Manganese,Mn (µM),64.77,257.61,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Manganese,Mn (µM),63.36,259.372,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Sodium,Na (mM),465.14,330.298,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Sodium,Na (mM),463.58,589.592,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Phosphorus,P (µM),3.08,213.618,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Sulfur,S (mM),16.5,182.562,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Silicon,Si (µM),898.26,221.667,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Silicon,Si (µM),873.25,251.611,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Silicon,Si (µM),883.71,288.158,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Strontium,Sr (µM),126.86,407.771,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Strontium,Sr (µM),130.37,421.552,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,5,F,2,195.28,195.380,195.055,195.147,Strontium,Sr (µM),125,460.733,,,,2019-02-08 05:27:35,LIQ9726571,112887021,20uL HNO3,,
379,U1532,C,7,F,2,204.66,204.760,204.436,204.528,Boron,B (mM),322.87,249.678,,,,2019-02-08 05:17:41,LIQ9727321,112886781,20uL HNO3,,
379,U1532,C,7,F,2,204.66,204.760,204.436,204.528,Boron,B (mM),318.71,249.772,,,,2019-02-08 05:17:41,LIQ9727321,112886781,20uL HNO3,,
379,U1532,C,7,F,2,204.66,204.760,204.436,204.528,Barium,Ba (µM),2.3,230.424,,,,2019-02-08 05:17:41,LIQ9727321,112886781,20uL HNO3,,
379,U1532,C,7,F,2,204.66,204.760,204.436,204.528,Barium,Ba (µM),2.47,455.403,,,,2019-02-08 05:17:41,LIQ9727321,112886781,20uL HNO3,,
379,U1532,C,7,F,2,204.66,204.760,204.436,204.528,Calcium,Ca (mM),23.21,315.887,,,,2019-02-08 05:17:41,LIQ9727321,112886781,20uL HNO3,,
379,U1532,C,7,F,2,204.66,204.760,204.436,204.528,Calcium,Ca (mM),23.13,317.933,,,,2019-02-08 05:17:41,LIQ9727321,112886781,20uL HNO3,,
379,U1532,C,7,F,2,204.66,204.760,204.436,204.528,Calcium,Ca (mM),23.22,318.127,,,,2019-02-08 05:17:41,LIQ9727321,112886781,20uL HNO3,,
379,U1532,C,7,F,2,204.66,204.760,204.436,204.528,Iron,Fe (µM),2.13,238.204,,,,2019-02-08 05:17:41,LIQ9727321,112886781,20uL HNO3,,
