Exp,Site,Hole,Core,Type,Sect,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),NGR total counts (cps),Absolute error (cps),NGR zip file,Timestamp (UTC),Text ID,Comments
374,U1522,A,1,R,1,0.0,0,0.000,40.167,2.386,374-NGR-45445211-ngr_sample_374-U1522A-1R-1-W_SHLF9307491_20181224045.zip,2018-01-22 10:00:45,SECT9307481,
374,U1522,A,1,R,1,10.0,0.1,0.100,39.438,0.803,,2018-01-22 10:00:45,SECT9307481,
374,U1522,A,1,R,1,20.0,0.2,0.200,43.289,0.414,,2018-01-22 10:00:45,SECT9307481,
374,U1522,A,1,R,1,30.0,0.3,0.300,49.692,0.439,,2018-01-22 10:00:45,SECT9307481,
374,U1522,A,1,R,1,40.0,0.4,0.400,52.406,0.449,,2018-01-22 10:00:45,SECT9307481,
374,U1522,A,1,R,1,50.0,0.5,0.500,53.333,0.453,,2018-01-22 10:00:45,SECT9307481,
374,U1522,A,1,R,1,60.0,0.6,0.600,52.666,0.451,,2018-01-22 10:00:45,SECT9307481,
374,U1522,A,1,R,1,70.0,0.7,0.700,46.929,0.429,,2018-01-22 10:00:45,SECT9307481,
374,U1522,A,1,R,1,80.0,0.8,0.800,42.860,0.412,,2018-01-22 10:00:45,SECT9307481,
374,U1522,A,1,R,1,90.0,0.9,0.900,45.460,0.422,,2018-01-22 10:00:45,SECT9307481,
374,U1522,A,1,R,1,100.0,1,1.000,44.806,0.419,,2018-01-22 10:00:45,SECT9307481,
374,U1522,A,1,R,1,110.0,1.1,1.100,45.613,0.422,,2018-01-22 10:00:45,SECT9307481,
374,U1522,A,1,R,1,120.0,1.2,1.200,44.081,0.409,,2018-01-22 10:00:45,SECT9307481,
374,U1522,A,1,R,1,130.0,1.3,1.300,44.202,0.598,,2018-01-22 10:00:45,SECT9307481,
374,U1522,A,1,R,1,140.0,1.4,1.400,40.258,1.282,,2018-01-22 10:00:45,SECT9307481,
374,U1522,A,1,R,2,0.0,1.52,1.520,33.002,1.981,374-NGR-45445241-ngr_sample_374-U1522A-1R-2-W_SHLF9307521_20181224144.zip,2018-01-22 10:14:04,SECT9307511,
374,U1522,A,1,R,2,10.0,1.62,1.620,37.155,0.765,,2018-01-22 10:14:04,SECT9307511,
374,U1522,A,1,R,2,20.0,1.72,1.720,46.162,0.425,,2018-01-22 10:14:04,SECT9307511,
374,U1522,A,1,R,2,30.0,1.82,1.820,49.975,0.440,,2018-01-22 10:14:04,SECT9307511,
374,U1522,A,1,R,2,40.0,1.92,1.920,54.206,0.456,,2018-01-22 10:14:04,SECT9307511,
374,U1522,A,1,R,2,50.0,2.02,2.020,55.243,0.460,,2018-01-22 10:14:04,SECT9307511,
374,U1522,A,1,R,2,60.0,2.12,2.120,58.129,0.470,,2018-01-22 10:14:04,SECT9307511,
374,U1522,A,1,R,2,70.0,2.22,2.220,59.713,0.476,,2018-01-22 10:14:04,SECT9307511,
374,U1522,A,1,R,2,80.0,2.32,2.320,56.226,0.463,,2018-01-22 10:14:04,SECT9307511,
374,U1522,A,1,R,2,90.0,2.42,2.420,54.330,0.456,,2018-01-22 10:14:04,SECT9307511,
374,U1522,A,1,R,2,100.0,2.52,2.520,53.866,0.453,,2018-01-22 10:14:04,SECT9307511,
374,U1522,A,1,R,2,110.0,2.62,2.620,54.192,0.717,,2018-01-22 10:14:04,SECT9307511,
374,U1522,A,1,R,2,120.0,2.72,2.720,53.862,0.788,,2018-01-22 10:14:04,SECT9307511,
374,U1522,A,9,R,1,0.0,77.3,77.300,43.735,2.588,374-NGR-45450261-ngr_sample_374-U1522A-9R-1-A_SHLF9308601_2018122144015.zip,2018-01-22 20:40:15,SECT9308581,
