Exp,Site,Hole,Core,Type,Sect,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),NGR total counts (cps),Absolute error (cps),NGR zip file,Timestamp (UTC),Text ID,Comments
374,U1525,A,1,H,1,0.0,0,0.000,47.808,2.816,374-NGR-45852041-ngr_sample_374-U1525A-1H-1-A_SHLF9373591_20182714130.zip,2018-02-07 07:41:30,SECT9373571,
374,U1525,A,1,H,1,10.0,0.1,0.100,44.700,0.890,,2018-02-07 07:41:30,SECT9373571,
374,U1525,A,1,H,1,20.0,0.2,0.200,41.881,0.404,,2018-02-07 07:41:30,SECT9373571,
374,U1525,A,1,H,1,30.0,0.3,0.299,41.034,0.401,,2018-02-07 07:41:30,SECT9373571,
374,U1525,A,1,H,1,40.0,0.4,0.399,41.755,0.404,,2018-02-07 07:41:30,SECT9373571,
374,U1525,A,1,H,1,50.0,0.5,0.499,42.252,0.406,,2018-02-07 07:41:30,SECT9373571,
374,U1525,A,1,H,1,60.0,0.6,0.599,42.146,0.406,,2018-02-07 07:41:30,SECT9373571,
374,U1525,A,1,H,1,70.0,0.7,0.699,38.772,0.392,,2018-02-07 07:41:30,SECT9373571,
374,U1525,A,1,H,1,80.0,0.8,0.798,37.902,0.388,,2018-02-07 07:41:30,SECT9373571,
374,U1525,A,1,H,1,90.0,0.9,0.898,40.442,0.398,,2018-02-07 07:41:30,SECT9373571,
374,U1525,A,1,H,1,100.0,1,0.998,40.091,0.396,,2018-02-07 07:41:30,SECT9373571,
374,U1525,A,1,H,1,110.0,1.1,1.098,40.344,0.397,,2018-02-07 07:41:30,SECT9373571,
374,U1525,A,1,H,1,120.0,1.2,1.198,41.976,0.397,,2018-02-07 07:41:30,SECT9373571,
374,U1525,A,1,H,1,130.0,1.3,1.297,42.126,0.398,,2018-02-07 07:41:30,SECT9373571,
374,U1525,A,1,H,1,140.0,1.4,1.397,44.179,0.881,,2018-02-07 07:41:30,SECT9373571,
374,U1525,A,1,H,1,150.0,1.5,1.497,43.142,2.551,,2018-02-07 07:41:30,SECT9373571,
374,U1525,A,1,H,2,0.0,1.5,1.497,47.837,2.818,374-NGR-45852231-ngr_sample_374-U1525A-1H-2-W_SHLF9373611_20182715247.zip,2018-02-07 07:52:47,SECT9373601,
374,U1525,A,1,H,2,10.0,1.6,1.597,45.023,0.896,,2018-02-07 07:52:47,SECT9373601,
374,U1525,A,1,H,2,20.0,1.7,1.696,46.664,0.423,,2018-02-07 07:52:47,SECT9373601,
374,U1525,A,1,H,2,30.0,1.8,1.796,47.441,0.426,,2018-02-07 07:52:47,SECT9373601,
374,U1525,A,1,H,2,40.0,1.9,1.896,48.552,0.431,,2018-02-07 07:52:47,SECT9373601,
374,U1525,A,1,H,2,50.0,2,1.996,48.499,0.431,,2018-02-07 07:52:47,SECT9373601,
374,U1525,A,1,H,2,60.0,2.1,2.095,50.816,0.440,,2018-02-07 07:52:47,SECT9373601,
374,U1525,A,1,H,2,70.0,2.2,2.195,51.436,0.442,,2018-02-07 07:52:47,SECT9373601,
374,U1525,A,1,H,2,80.0,2.3,2.295,48.175,0.430,,2018-02-07 07:52:47,SECT9373601,
374,U1525,A,1,H,2,90.0,2.4,2.395,49.412,0.434,,2018-02-07 07:52:47,SECT9373601,
374,U1525,A,1,H,2,100.0,2.5,2.494,48.521,0.430,,2018-02-07 07:52:47,SECT9373601,
374,U1525,A,1,H,2,110.0,2.6,2.594,48.827,0.431,,2018-02-07 07:52:47,SECT9373601,
