Exp,Site,Hole,Core,Type,Sect,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),NGR total counts (cps),Absolute error (cps),NGR zip file,Timestamp (UTC),Text ID,Comments
374,U1523,A,1,H,1,0.0,0,0.000,39.212,2.329,374-NGR-45613101-ngr_sample_374-U1523A-1H-1-A_SHLF9335731_201812922534.zip,2018-01-29 08:25:34,SECT9335711,
374,U1523,A,1,H,1,10.0,0.1,0.100,38.323,0.782,,2018-01-29 08:25:34,SECT9335711,
374,U1523,A,1,H,1,20.0,0.2,0.200,41.607,0.403,,2018-01-29 08:25:34,SECT9335711,
374,U1523,A,1,H,1,30.0,0.3,0.300,43.507,0.411,,2018-01-29 08:25:34,SECT9335711,
374,U1523,A,1,H,1,40.0,0.4,0.399,45.549,0.419,,2018-01-29 08:25:34,SECT9335711,
374,U1523,A,1,H,1,50.0,0.5,0.499,46.975,0.425,,2018-01-29 08:25:34,SECT9335711,
374,U1523,A,1,H,1,60.0,0.6,0.599,49.769,0.436,,2018-01-29 08:25:34,SECT9335711,
374,U1523,A,1,H,1,70.0,0.7,0.699,46.589,0.424,,2018-01-29 08:25:34,SECT9335711,
374,U1523,A,1,H,1,80.0,0.8,0.799,38.689,0.391,,2018-01-29 08:25:34,SECT9335711,
374,U1523,A,1,H,1,90.0,0.9,0.899,32.932,0.366,,2018-01-29 08:25:34,SECT9335711,
374,U1523,A,1,H,1,100.0,1,0.999,31.911,0.360,,2018-01-29 08:25:34,SECT9335711,
374,U1523,A,1,H,1,110.0,1.1,1.099,34.604,0.372,,2018-01-29 08:25:34,SECT9335711,
374,U1523,A,1,H,1,120.0,1.2,1.198,37.819,0.379,,2018-01-29 08:25:34,SECT9335711,
374,U1523,A,1,H,1,130.0,1.3,1.298,38.196,0.381,,2018-01-29 08:25:34,SECT9335711,
374,U1523,A,1,H,1,140.0,1.4,1.398,39.254,0.797,,2018-01-29 08:25:34,SECT9335711,
374,U1523,A,1,H,1,150.0,1.5,1.498,36.413,2.170,,2018-01-29 08:25:34,SECT9335711,
374,U1523,A,1,H,2,0.0,1.5,1.498,40.702,2.413,374-NGR-45613381-ngr_sample_374-U1523A-1H-2-A_SHLF9335761_201812923825.zip,2018-01-29 08:38:25,SECT9335741,
374,U1523,A,1,H,2,10.0,1.6,1.598,41.109,0.829,,2018-01-29 08:38:25,SECT9335741,
374,U1523,A,1,H,2,20.0,1.7,1.698,42.524,0.407,,2018-01-29 08:38:25,SECT9335741,
374,U1523,A,1,H,2,30.0,1.8,1.798,43.217,0.410,,2018-01-29 08:38:25,SECT9335741,
374,U1523,A,1,H,2,40.0,1.9,1.897,45.999,0.421,,2018-01-29 08:38:25,SECT9335741,
374,U1523,A,1,H,2,50.0,2,1.997,45.902,0.421,,2018-01-29 08:38:25,SECT9335741,
374,U1523,A,1,H,2,60.0,2.1,2.097,46.859,0.425,,2018-01-29 08:38:25,SECT9335741,
374,U1523,A,1,H,2,70.0,2.2,2.197,45.372,0.419,,2018-01-29 08:38:25,SECT9335741,
374,U1523,A,1,H,2,80.0,2.3,2.297,42.649,0.407,,2018-01-29 08:38:25,SECT9335741,
374,U1523,A,1,H,2,90.0,2.4,2.397,42.945,0.409,,2018-01-29 08:38:25,SECT9335741,
374,U1523,A,1,H,2,100.0,2.5,2.497,44.894,0.416,,2018-01-29 08:38:25,SECT9335741,
374,U1523,A,1,H,2,110.0,2.6,2.597,45.947,0.420,,2018-01-29 08:38:25,SECT9335741,
374,U1523,A,1,H,2,120.0,2.7,2.696,46.429,0.415,,2018-01-29 08:38:25,SECT9335741,
374,U1523,A,1,H,2,130.0,2.8,2.796,45.419,0.411,,2018-01-29 08:38:25,SECT9335741,
374,U1523,A,1,H,2,140.0,2.9,2.896,43.920,0.877,,2018-01-29 08:38:25,SECT9335741,
374,U1523,A,1,H,2,150.0,3,2.996,40.977,2.428,,2018-01-29 08:38:25,SECT9335741,
374,U1523,A,1,H,3,0.0,3,2.996,33.856,2.026,374-NGR-45613581-ngr_sample_374-U1523A-1H-3-W_SHLF9335781_201812924949.zip,2018-01-29 08:49:49,SECT9335771,
374,U1523,A,1,H,3,10.0,3.1,3.096,36.997,0.759,,2018-01-29 08:49:49,SECT9335771,
374,U1523,A,1,H,3,20.0,3.2,3.196,39.367,0.394,,2018-01-29 08:49:49,SECT9335771,
374,U1523,A,1,H,3,30.0,3.3,3.296,41.011,0.400,,2018-01-29 08:49:49,SECT9335771,
374,U1523,A,1,H,3,40.0,3.4,3.396,41.745,0.404,,2018-01-29 08:49:49,SECT9335771,
374,U1523,A,1,H,3,50.0,3.5,3.496,43.562,0.411,,2018-01-29 08:49:49,SECT9335771,
374,U1523,A,1,H,3,60.0,3.6,3.596,46.006,0.422,,2018-01-29 08:49:49,SECT9335771,
374,U1523,A,1,H,3,70.0,3.7,3.696,45.672,0.420,,2018-01-29 08:49:49,SECT9335771,
374,U1523,A,1,H,3,80.0,3.8,3.795,43.375,0.410,,2018-01-29 08:49:49,SECT9335771,
374,U1523,A,1,H,3,90.0,3.9,3.895,42.495,0.407,,2018-01-29 08:49:49,SECT9335771,
374,U1523,A,1,H,3,100.0,4,3.995,43.071,0.408,,2018-01-29 08:49:49,SECT9335771,
374,U1523,A,1,H,3,110.0,4.1,4.095,42.541,0.406,,2018-01-29 08:49:49,SECT9335771,
374,U1523,A,1,H,3,120.0,4.2,4.195,42.762,0.400,,2018-01-29 08:49:49,SECT9335771,
374,U1523,A,1,H,3,130.0,4.3,4.295,40.322,0.390,,2018-01-29 08:49:49,SECT9335771,
374,U1523,A,1,H,3,140.0,4.4,4.395,39.763,0.870,,2018-01-29 08:49:49,SECT9335771,
374,U1523,A,1,H,3,150.0,4.5,4.495,39.486,2.222,,2018-01-29 08:49:49,SECT9335771,
374,U1523,A,1,H,4,0.0,4.51,4.505,45.265,2.672,374-NGR-45613611-ngr_sample_374-U1523A-1H-4-A_SHLF9335821_20181293213.zip,2018-01-29 09:02:13,SECT9335801,
374,U1523,A,1,H,4,10.0,4.61,4.605,45.213,0.899,,2018-01-29 09:02:13,SECT9335801,
374,U1523,A,1,H,4,20.0,4.71,4.705,44.371,0.414,,2018-01-29 09:02:13,SECT9335801,
374,U1523,A,1,H,4,30.0,4.81,4.805,44.431,0.414,,2018-01-29 09:02:13,SECT9335801,
374,U1523,A,1,H,4,40.0,4.91,4.904,44.945,0.417,,2018-01-29 09:02:13,SECT9335801,
374,U1523,A,1,H,4,50.0,5.01,5.004,44.155,0.414,,2018-01-29 09:02:13,SECT9335801,
374,U1523,A,1,H,4,60.0,5.11,5.104,46.032,0.422,,2018-01-29 09:02:13,SECT9335801,
