Exp,Site,Hole,Core,Type,Sect,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),NGR total counts (cps),Absolute error (cps),NGR zip file,Timestamp (UTC),Text ID,Comments
374,U1524,A,1,H,1,0.0,0,0.000,41.196,2.441,374-NGR-45722081-ngr_sample_374-U1524A-1H-1-W_SHLF9353561_201824121638.zip,2018-02-04 18:16:38,SECT9353551,
374,U1524,A,1,H,1,10.0,0.1,0.100,39.406,0.800,,2018-02-04 18:16:38,SECT9353551,
374,U1524,A,1,H,1,20.0,0.2,0.199,40.327,0.398,,2018-02-04 18:16:38,SECT9353551,
374,U1524,A,1,H,1,30.0,0.3,0.299,39.787,0.395,,2018-02-04 18:16:38,SECT9353551,
374,U1524,A,1,H,1,40.0,0.4,0.398,38.815,0.392,,2018-02-04 18:16:38,SECT9353551,
374,U1524,A,1,H,1,50.0,0.5,0.498,33.969,0.371,,2018-02-04 18:16:38,SECT9353551,
374,U1524,A,1,H,1,60.0,0.6,0.597,31.619,0.360,,2018-02-04 18:16:38,SECT9353551,
374,U1524,A,1,H,1,70.0,0.7,0.697,36.356,0.381,,2018-02-04 18:16:38,SECT9353551,
374,U1524,A,1,H,1,80.0,0.8,0.796,40.589,0.399,,2018-02-04 18:16:38,SECT9353551,
374,U1524,A,1,H,1,90.0,0.9,0.896,46.275,0.422,,2018-02-04 18:16:38,SECT9353551,
374,U1524,A,1,H,1,100.0,1,0.995,47.987,0.428,,2018-02-04 18:16:38,SECT9353551,
374,U1524,A,1,H,1,110.0,1.1,1.095,49.714,0.435,,2018-02-04 18:16:38,SECT9353551,
374,U1524,A,1,H,1,120.0,1.2,1.194,48.889,0.425,,2018-02-04 18:16:38,SECT9353551,
374,U1524,A,1,H,1,130.0,1.3,1.294,45.929,0.599,,2018-02-04 18:16:38,SECT9353551,
374,U1524,A,1,H,1,140.0,1.4,1.393,37.789,0.782,,2018-02-04 18:16:38,SECT9353551,
374,U1524,A,1,H,2,0.0,1.46,1.453,35.920,2.143,374-NGR-45722111-ngr_sample_374-U1524A-1H-2-A_SHLF9353601_201824122752.zip,2018-02-04 18:27:52,SECT9353581,
374,U1524,A,1,H,2,10.0,1.56,1.552,37.248,0.764,,2018-02-04 18:27:52,SECT9353581,
374,U1524,A,1,H,2,20.0,1.66,1.652,39.331,0.393,,2018-02-04 18:27:52,SECT9353581,
374,U1524,A,1,H,2,30.0,1.76,1.751,40.914,0.400,,2018-02-04 18:27:52,SECT9353581,
374,U1524,A,1,H,2,40.0,1.86,1.851,41.925,0.405,,2018-02-04 18:27:52,SECT9353581,
374,U1524,A,1,H,2,50.0,1.96,1.950,36.662,0.383,,2018-02-04 18:27:52,SECT9353581,
374,U1524,A,1,H,2,60.0,2.06,2.050,31.086,0.358,,2018-02-04 18:27:52,SECT9353581,
374,U1524,A,1,H,2,70.0,2.16,2.149,30.409,0.355,,2018-02-04 18:27:52,SECT9353581,
374,U1524,A,1,H,2,80.0,2.26,2.249,30.059,0.352,,2018-02-04 18:27:52,SECT9353581,
374,U1524,A,1,H,2,90.0,2.36,2.348,30.035,0.352,,2018-02-04 18:27:52,SECT9353581,
374,U1524,A,1,H,2,100.0,2.46,2.448,30.624,0.354,,2018-02-04 18:27:52,SECT9353581,
374,U1524,A,1,H,2,110.0,2.56,2.547,37.837,0.386,,2018-02-04 18:27:52,SECT9353581,
374,U1524,A,1,H,2,120.0,2.66,2.646,37.706,0.379,,2018-02-04 18:27:52,SECT9353581,
374,U1524,A,1,H,2,130.0,2.76,2.746,34.828,0.487,,2018-02-04 18:27:52,SECT9353581,
374,U1524,A,1,H,2,140.0,2.86,2.845,30.252,0.589,,2018-02-04 18:27:52,SECT9353581,
374,U1524,A,1,H,3,0.0,2.92,2.905,29.838,1.800,374-NGR-45722161-ngr_sample_374-U1524A-1H-3-A_SHLF9353631_201824124145.zip,2018-02-04 18:41:45,SECT9353611,
374,U1524,A,1,H,3,10.0,3.02,3.005,29.766,0.637,,2018-02-04 18:41:45,SECT9353611,
374,U1524,A,1,H,3,20.0,3.12,3.104,33.587,0.368,,2018-02-04 18:41:45,SECT9353611,
374,U1524,A,1,H,3,30.0,3.22,3.204,40.607,0.399,,2018-02-04 18:41:45,SECT9353611,
374,U1524,A,1,H,3,40.0,3.32,3.303,42.699,0.408,,2018-02-04 18:41:45,SECT9353611,
374,U1524,A,1,H,3,50.0,3.42,3.403,41.465,0.403,,2018-02-04 18:41:45,SECT9353611,
374,U1524,A,1,H,3,60.0,3.52,3.502,42.259,0.406,,2018-02-04 18:41:45,SECT9353611,
374,U1524,A,1,H,3,70.0,3.62,3.602,44.402,0.415,,2018-02-04 18:41:45,SECT9353611,
374,U1524,A,1,H,3,80.0,3.72,3.702,43.726,0.608,,2018-02-04 18:41:45,SECT9353611,
374,U1524,A,1,H,3,90.0,3.82,3.801,44.159,0.686,,2018-02-04 18:41:45,SECT9353611,
374,U1524,A,2,H,1,0.0,4,4.000,38.623,2.296,374-NGR-45722531-ngr_sample_374-U1524A-2H-1-A_SHLF9353971_2018241395.zip,2018-02-04 19:09:05,SECT9353951,
374,U1524,A,2,H,1,10.0,4.1,4.097,35.481,0.734,,2018-02-04 19:09:05,SECT9353951,
374,U1524,A,2,H,1,20.0,4.2,4.193,32.277,0.362,,2018-02-04 19:09:05,SECT9353951,
374,U1524,A,2,H,1,30.0,4.3,4.290,29.484,0.349,,2018-02-04 19:09:05,SECT9353951,
374,U1524,A,2,H,1,40.0,4.4,4.387,29.785,0.351,,2018-02-04 19:09:05,SECT9353951,
374,U1524,A,2,H,1,50.0,4.5,4.484,30.759,0.356,,2018-02-04 19:09:05,SECT9353951,
374,U1524,A,2,H,1,60.0,4.6,4.580,32.526,0.364,,2018-02-04 19:09:05,SECT9353951,
374,U1524,A,2,H,1,70.0,4.7,4.677,33.819,0.370,,2018-02-04 19:09:05,SECT9353951,
374,U1524,A,2,H,1,80.0,4.8,4.774,32.739,0.365,,2018-02-04 19:09:05,SECT9353951,
374,U1524,A,2,H,1,90.0,4.9,4.871,33.952,0.370,,2018-02-04 19:09:05,SECT9353951,
374,U1524,A,2,H,1,100.0,5,4.967,33.561,0.367,,2018-02-04 19:09:05,SECT9353951,
374,U1524,A,2,H,1,110.0,5.1,5.064,34.941,0.374,,2018-02-04 19:09:05,SECT9353951,
374,U1524,A,2,H,1,120.0,5.2,5.161,35.429,0.368,,2018-02-04 19:09:05,SECT9353951,
374,U1524,A,2,H,1,130.0,5.3,5.258,34.922,0.366,,2018-02-04 19:09:05,SECT9353951,
374,U1524,A,2,H,1,140.0,5.4,5.354,35.545,0.790,,2018-02-04 19:09:05,SECT9353951,
374,U1524,A,2,H,1,150.0,5.5,5.451,33.780,1.916,,2018-02-04 19:09:05,SECT9353951,
374,U1524,A,2,H,2,0.0,5.5,5.451,37.366,2.224,374-NGR-45722691-ngr_sample_374-U1524A-2H-2-W_SHLF9353991_201824132028.zip,2018-02-04 19:20:28,SECT9353981,
374,U1524,A,2,H,2,10.0,5.6,5.548,34.839,0.723,,2018-02-04 19:20:28,SECT9353981,
374,U1524,A,2,H,2,20.0,5.7,5.644,35.037,0.375,,2018-02-04 19:20:28,SECT9353981,
374,U1524,A,2,H,2,30.0,5.8,5.741,35.454,0.377,,2018-02-04 19:20:28,SECT9353981,
374,U1524,A,2,H,2,40.0,5.9,5.838,34.055,0.371,,2018-02-04 19:20:28,SECT9353981,
374,U1524,A,2,H,2,50.0,6,5.935,35.605,0.378,,2018-02-04 19:20:28,SECT9353981,
374,U1524,A,2,H,2,60.0,6.1,6.031,36.979,0.384,,2018-02-04 19:20:28,SECT9353981,
374,U1524,A,2,H,2,70.0,6.2,6.128,37.322,0.386,,2018-02-04 19:20:28,SECT9353981,
