Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Magnetic susceptibility (SI x 10^-5),Configuration filename,Timestamp (UTC),Instrument,Instrument group,Text ID,Comments
374,U1523,E,1,H,1,A,115.0,1.15,1.108,13.00,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,117.5,1.175,1.132,27.33,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,120.0,1.2,1.156,20.00,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,122.5,1.225,1.180,25.00,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,125.0,1.25,1.204,27.67,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,127.5,1.275,1.228,24.33,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,130.0,1.3,1.252,21.33,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,132.5,1.325,1.276,19.00,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,135.0,1.35,1.301,16.67,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,137.5,1.375,1.325,19.33,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,140.0,1.4,1.349,17.00,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,142.5,1.425,1.373,21.00,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,145.0,1.45,1.397,17.67,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,147.5,1.475,1.421,18.67,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,150.0,1.5,1.445,48.00,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,2,A,2.5,1.525,1.469,188.00,374-MSPOINT-45192531-i_pi_ms.ini,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,5.0,1.55,1.493,67.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,7.5,1.575,1.517,158.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,10.0,1.6,1.541,164.67,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,12.5,1.625,1.566,69.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,15.0,1.65,1.590,36.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,17.5,1.675,1.614,71.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,20.0,1.7,1.638,56.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,22.5,1.725,1.662,44.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,25.0,1.75,1.686,21.67,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,27.5,1.775,1.710,44.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,30.0,1.8,1.734,44.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,32.5,1.825,1.758,59.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,35.0,1.85,1.782,140.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,37.5,1.875,1.806,108.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,40.0,1.9,1.831,263.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,42.5,1.925,1.855,117.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,45.0,1.95,1.879,103.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,47.5,1.975,1.903,220.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,50.0,2,1.927,81.67,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,52.5,2.025,1.951,104.67,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,55.0,2.05,1.975,81.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,57.5,2.075,1.999,57.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,60.0,2.1,2.023,63.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,62.5,2.125,2.048,91.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,65.0,2.15,2.072,61.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,67.5,2.175,2.096,62.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,70.0,2.2,2.120,42.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,72.5,2.225,2.144,48.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,75.0,2.25,2.168,42.67,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,77.5,2.275,2.192,6.67,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,80.0,2.3,2.216,3.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,82.5,2.325,2.240,10.67,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,85.0,2.35,2.264,16.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,87.5,2.375,2.288,9.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,90.0,2.4,2.313,6.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
