Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Salinity,Comments
374,U1523,E,3,F,2,146.0,151.0,18.96,19.010,18.899,18.948,35.5,"ship split, untreated"
374,U1523,E,16,F,2,145.0,150.0,89.35,89.400,89.350,89.400,35,"ship split, untreated"
374,U1523,E,20,F,2,136.0,146.0,108.52,108.570,108.520,108.570,34,"ship split, untreated"
374,U1523,E,25,F,1,131.0,141.0,127.41,127.510,127.410,127.510,34,"ship split, untreated"
