Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Salinity,Comments
374,U1522,A,1,R,1,0.0,0.0,0,0.100,0.000,0.100,34.5,"ship split, untreated"
374,U1522,A,1,R,1,142.0,152.0,1.42,1.520,1.420,1.520,35,"ship split, untreated"
374,U1522,A,9,R,2,141.0,151.0,80.21,80.310,80.210,80.310,31.5,"ship split, untreated"
374,U1522,A,10,R,1,140.0,150.0,88.4,88.500,88.400,88.500,30,"ship split, untreated"
374,U1522,A,11,R,1,127.0,138.0,97.97,98.080,97.970,98.080,30,"ship split, untreated"
374,U1522,A,23,R,2,114.0,124.0,215.4,215.500,215.400,215.500,30,"ship split, untreated"
