Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Salinity,Comments
374,U1524,B,1,H,1,0.0,0.0,0,0.100,0.000,0.099,35,"ship split, untreated"
374,U1524,B,1,H,1,40.0,45.0,0.4,0.450,0.397,0.447,35,"ship split, untreated"
374,U1524,B,1,H,1,85.0,90.0,0.85,0.900,0.843,0.893,35,"ship split, untreated"
374,U1524,B,1,H,2,15.0,20.0,1.05,1.100,1.042,1.092,35,"ship split, untreated"
374,U1524,B,1,H,2,55.0,60.0,1.45,1.500,1.439,1.489,35,"ship split, untreated"
374,U1524,B,1,H,2,95.0,100.0,1.85,1.900,1.836,1.886,35,"ship split, untreated"
374,U1524,B,1,H,3,15.0,20.0,2.25,2.300,2.233,2.283,35,"ship split, untreated"
374,U1524,B,1,H,3,55.0,60.0,2.65,2.700,2.630,2.679,35,"ship split, untreated"
374,U1524,B,1,H,4,15.0,20.0,3.45,3.500,3.424,3.474,35,"ship split, untreated"
374,U1524,B,1,H,4,55.0,60.0,3.85,3.900,3.821,3.871,35.5,"ship split, untreated"
374,U1524,B,1,H,4,95.0,100.0,4.25,4.300,4.218,4.268,35,"ship split, untreated"
374,U1524,B,1,H,5,15.0,20.0,4.65,4.700,4.614,4.664,35,"ship split, untreated"
374,U1524,B,1,H,5,55.0,60.0,5.05,5.100,5.011,5.061,35,"ship split, untreated"
374,U1524,B,1,H,5,95.0,100.0,5.45,5.500,5.408,5.458,35,"ship split, untreated"
374,U1524,B,1,H,6,15.0,20.0,5.85,5.900,5.805,5.855,35,"ship split, untreated"
374,U1524,B,1,H,6,55.0,60.0,6.25,6.300,6.202,6.252,35,"ship split, untreated"
374,U1524,B,1,H,6,95.0,100.0,6.65,6.700,6.599,6.649,35,"ship split, untreated"
374,U1524,B,1,H,7,26.0,31.0,7.16,7.210,7.105,7.155,35,"ship split, untreated"
374,U1524,B,1,H,7,66.0,71.0,7.56,7.610,7.502,7.552,35,"ship split, untreated"
