Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Top depth CSF-A (m),Top depth CSF-B (m),Top depth CCSF-379-U1533-ABCD-20191030 (m),Sample vol (cm^3),Measurement field (A/m),Holder susceptibility (SI),Mean susceptibility (SI),Bulk susceptibility (SI),Kmax susceptibility (SI),Kint susceptibility (SI),Kmin susceptibility (SI),Kmax dec (deg),Kmax inc (deg),Kint dec (deg),Kint inc (deg),Kmin dec (deg),Kmin inc (deg),Raw filename,Configuration filename,Instrument,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,C,1,H,2,W,110.0,2.56,2.560,4.810,7.00,300,-9.94E-06,633.9E-06,,1.0037,1.0011,0.9951,103,6,195,12,346,76,379-KAPPA-48453051-U1533C.ASC,379-KAPPA-48453061-U1533C.RAN,KLY-4S,2019-03-02 05:41:52,CUBE9777561,113249261,,,
379,U1533,C,1,H,4,W,30.0,4.68,4.680,6.930,7.00,300,-9.94E-06,190.4E-06,,1.0183,1.0079,0.9738,88,17,299,70,181,10,379-KAPPA-48453051-U1533C.ASC,379-KAPPA-48453061-U1533C.RAN,KLY-4S,2019-03-02 05:41:53,CUBE9777571,113249271,,,
