"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CSF-B (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Sulfur (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Sample comments"
"374","U1525","A","1","H","1","W","40.0","41.0","0.400","0.399","0.079","0.658","0.1644","0.0000","0.0246","0.0000","0.09",""
"374","U1525","A","1","H","5","W","70.0","71.0","6.700","6.684","0.318","2.650","0.4913","0.0000","0.0231","0.0000","0.17",""
"374","U1525","A","2","H","1","W","76.0","77.0","9.360","9.310","0.262","2.183","0.4335","0.0000","0.0218","0.0000","0.17",""
"374","U1525","A","2","H","6","W","97.0","98.0","17.100","16.540","0.297","2.475","0.4626","0.0000","0.0160","0.0000","0.17",""
"374","U1525","A","3","H","2","W","100.0","101.0","20.600","20.450","0.447","3.725","0.4837","0.0000","0.0233","0.0000","0.04",""
"374","U1525","A","3","H","4","W","80.0","81.0","23.410","23.090","0.502","4.183","0.5346","0.0000","0.0257","0.0000","0.03",""
"374","U1525","A","4","H","1","W","71.0","72.0","28.310","28.305","0.326","2.717","0.4407","0.0000","0.0172","0.0000","0.11",""
"374","U1525","A","5","F","1","W","72.0","73.0","29.620","29.591","0.534","4.450","0.5319","0.0000","0.0207","0.0000","bdl",""
"374","U1525","A","6","F","1","W","93.0","94.0","34.530","34.485","0.344","2.867","0.5107","0.0000","0.0224","0.0000","0.17",""
"374","U1525","A","6","F","3","W","79.0","80.0","37.390","37.206","0.030","0.250","0.4978","0.0000","0.0225","0.0000","0.47",""
"374","U1525","A","10","X","1","W","18.0","19.0","51.180","51.180","0.069","0.575","0.0517","0.0000","0.0182","0.0000","bdl",""
"374","U1525","A","11","F","1","W","42.0","43.0","56.120","56.104","0.072","0.600","0.1537","0.0000","0.0257","0.0000","0.08",""
"374","U1525","A","11","F","4","W","46.0","47.0","59.990","59.823","0.233","1.942","0.4016","0.0000","0.0253","0.0000","0.17",""
"374","U1525","A","12","F","1","W","109.0","110.0","61.490","61.403","0.257","2.142","0.4084","0.0000","0.0262","0.0000","0.15","brownish"
"374","U1525","A","12","F","4","W","43.0","44.0","64.860","64.503","0.135","1.125","0.3726","0.0000","0.0367","0.0000","0.24","greenish"
"374","U1525","A","13","F","1","W","111.0","112.0","66.210","66.210","0.015","0.125","0.1586","0.0000","0.0444","0.0000","0.14","brownish layer"
"374","U1525","A","13","F","3","W","45.0","46.0","68.460","68.460","0.031","0.258","0.3730","0.0000","0.0426","0.0000","0.34",""
"374","U1525","A","14","F","1","W","78.0","79.0","70.580","70.544","0.036","0.300","0.3893","0.0000","0.0423","0.0000","0.35","thick muddy turbidite?"
"374","U1525","A","14","F","3","W","74.0","75.0","73.490","73.317","0.145","1.208","0.4846","0.0000","0.0436","0.0000","0.34",""
