"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CSF-B (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Sulfur (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Sample comments"
"374","U1521","A","1","R","1","W","51.0","52.0","0.510","0.510","0.033","0.275","0.1708","","0.0125","","0.14",""
"374","U1521","A","1","R","3","W","46.0","47.0","2.960","2.960","0.070","0.583","0.4241","","0.0323","","0.35",""
"374","U1521","A","2","R","1","W","31.0","32.0","7.710","7.710","0.151","1.258","0.7439","","0.0474","","0.59",""
"374","U1521","A","3","R","1","W","93.0","94.0","17.930","17.930","0.151","1.258","0.6652","","0.0358","","0.51",""
"374","U1521","A","4","R","1","W","61.0","62.0","27.210","27.210","0.023","0.192","0.9550","","0.0663","","0.93",""
"374","U1521","A","4","R","3","W","46.0","47.0","30.060","30.060","0.031","0.258","0.9951","","0.0746","","0.96",""
"374","U1521","A","5","R","1","W","83.0","84.0","37.030","37.030","0.032","0.267","0.7562","","0.0641","","0.72",""
"374","U1521","A","5","R","3","W","24.0","25.0","39.440","39.440","0.066","0.550","0.8012","","0.0544","","0.74",""
"374","U1521","A","8","R","1","W","72.0","73.0","65.720","65.720","0.185","1.542","0.8757","","0.0629","","0.69",""
"374","U1521","A","9","R","1","W","121.0","122.0","75.810","75.810","0.042","0.350","0.8020","","0.0779","","0.76",""
"374","U1521","A","11","R","2","W","23.0","24.0","95.040","95.040","0.074","0.617","1.1797","","0.0901","","1.11",""
"374","U1521","A","12","R","1","W","96.0","97.0","104.360","104.360","4.635","38.623","5.5804","","0.0762","","0.95",""
"374","U1521","A","12","R","1","W","96.0","97.0","104.360","104.360","","","5.7077","","0.0704","","",""
"374","U1521","A","12","R","3","W","52.0","53.0","106.310","106.310","0.065","0.542","1.1022","","0.0931","","1.04",""
"374","U1521","A","12","R","3","W","52.0","53.0","106.310","106.310","","","1.1040","","0.0915","","",""
"374","U1521","A","13","R","6","W","16.0","17.0","119.790","119.790","0.144","1.200","1.1380","","0.0878","","0.99",""
"374","U1521","A","16","R","1","W","24.0","25.0","142.040","142.040","0.059","0.492","0.9281","","0.0838","","0.87",""
"374","U1521","A","16","R","4","W","68.0","69.0","145.830","145.830","0.108","0.900","1.0789","","0.0821","","0.97",""
"374","U1521","A","17","R","3","W","72.0","73.0","154.300","154.300","0.220","1.833","1.2317","","0.0784","","1.01",""
"374","U1521","A","18","R","1","W","68.0","69.0","161.680","161.680","0.184","1.533","1.0872","","0.0897","","0.90",""
"374","U1521","A","18","R","4","W","38.0","39.0","164.510","164.510","0.042","0.350","0.7846","","0.0753","","0.74",""
"374","U1521","A","19","R","2","W","48.0","49.0","172.200","172.200","0.045","0.375","1.2435","","0.0906","","1.20",""
"374","U1521","A","19","R","5","W","65.0","66.0","176.410","176.410","0.036","0.300","1.1396","","0.0892","","1.10",""
"374","U1521","A","20","R","1","W","66.0","67.0","180.860","180.860","0.045","0.375","1.0339","","0.1008","","0.99",""
"374","U1521","A","20","R","7","W","51.0","52.0","188.440","188.440","0.065","0.542","1.1725","","0.0918","","1.11",""
"374","U1521","A","21","R","1","W","76.0","77.0","190.560","190.560","0.043","0.358","0.9676","","0.0822","","0.92",""
"374","U1521","A","21","R","3","W","49.0","50.0","193.050","193.050","0.245","2.042","0.9567","","0.0711","","0.71",""
"374","U1521","A","22","R","1","W","59.0","60.0","199.990","199.990","0.114","0.950","1.0568","","0.0824","","0.94",""
"374","U1521","A","22","R","4","W","48.0","49.0","203.970","203.970","0.049","0.408","1.0385","","0.0751","","0.99",""
"374","U1521","A","23","R","1","W","70.0","71.0","209.700","209.700","0.708","5.900","1.5262","0.0000","0.0527","0.0000","0.82",""
"374","U1521","A","24","R","1","W","80.0","81.0","219.400","219.400","0.454","3.783","1.3857","0.0000","0.0750","0.0000","0.93",""
"374","U1521","A","24","R","2","W","43.0","44.0","220.410","220.410","0.332","2.767","0.9303","0.0000","0.0385","0.0000","0.60",""
"374","U1521","A","25","R","2","W","50.0","51.0","229.850","229.850","0.396","3.300","1.1809","0.0000","0.0589","0.0000","0.78",""
"374","U1521","A","26","R","2","W","37.0","38.0","239.320","239.320","0.318","2.650","1.0329","0.0000","0.0617","0.0000","0.71",""
"374","U1521","A","27","R","1","W","51.0","52.0","247.610","247.610","0.307","2.558","1.0844","0.0000","0.0552","0.0000","0.78",""
"374","U1521","A","28","R","3","W","67.0","68.0","259.980","259.980","0.200","1.667","1.0025","0.0000","0.0643","0.0000","0.80",""
"374","U1521","A","29","R","3","W","83.0","84.0","269.310","269.310","0.387","3.225","1.0783","0.0000","0.0610","0.0000","0.69",""
"374","U1521","A","30","R","1","W","35.0","36.0","276.050","276.050","0.272","2.267","1.1836","0.0000","0.0528","0.0000","0.91",""
"374","U1521","A","30","R","1","W","76.0","77.0","276.460","276.460","0.067","0.558","0.8085","0.0000","0.0602","0.0000","0.74",""
"374","U1521","A","31","R","1","W","44.0","45.0","285.740","285.740","0.131","1.092","0.9605","0.0000","0.0903","0.0000","0.83",""
"374","U1521","A","35","R","1","W","29.0","30.0","323.990","323.990","0.008","0.067","0.5998","0.0000","0.0663","0.0000","0.59",""
"374","U1521","A","35","R","3","W","36.0","37.0","325.980","325.980","0.378","3.150","0.8777","0.0000","0.0644","0.0000","0.50",""
"374","U1521","A","36","R","3","W","55.0","56.0","336.690","336.690","0.637","5.308","0.7482","0.0000","0.0420","0.0000","0.11",""
"374","U1521","A","37","R","2","W","100.0","101.0","345.270","345.270","0.007","0.058","7.0220","0.0000","0.0203","0.0000","7.02",""
"374","U1521","A","37","R","2","W","100.0","101.0","345.270","345.270","","","6.8718","0.0000","0.0229","0.0000","",""
"374","U1521","A","39","R","2","W","62.0","63.0","359.200","359.200","0.628","5.233","0.5444","0.0000","0.0382","0.0000","bdl",""
"374","U1521","A","39","R","2","W","62.0","63.0","359.200","359.200","","","0.5919","0.0000","0.0515","0.0000","",""
"374","U1521","A","40","R","2","W","68.0","69.0","364.240","364.240","0.293","2.442","0.6000","0.0000","0.0448","0.0000","0.31",""
"374","U1521","A","41","R","3","W","16.0","17.0","369.770","369.735","0.297","2.475","0.6474","0.0000","0.0403","0.0000","0.35",""
"374","U1521","A","42","R","2","W","63.0","64.0","373.510","373.510","0.008","0.067","0.7125","0.0000","0.0394","0.0000","0.70",""
"374","U1521","A","43","R","1","W","91.0","92.0","377.410","377.410","0.552","4.600","0.7191","0.0000","0.0339","0.0000","0.17",""
"374","U1521","A","44","R","1","W","16.0","18.0","381.460","381.460","0.310","2.583","0.7834","0.0000","0.0479","0.0000","0.47",""
"374","U1521","A","45","R","2","W","97.0","98.0","393.030","393.030","0.052","0.433","0.4157","0.0000","0.0569","0.0000","0.36",""
"374","U1521","A","46","R","1","W","47.0","48.0","400.970","400.970","0.083","0.692","0.4793","0.0000","0.0499","0.0000","0.40",""
"374","U1521","A","47","R","4","W","82.0","83.0","414.960","414.960","0.096","0.800","0.5218","0.0000","0.0487","0.0000","0.43",""
"374","U1521","A","48","R","4","W","47.0","48.0","424.460","424.460","0.076","0.633","0.4791","0.0000","0.0486","0.0000","0.40",""
"374","U1521","A","49","R","4","W","75.0","77.0","433.810","433.792","0.083","0.692","0.4889","0.0000","0.0475","0.0000","0.41",""
"374","U1521","A","50","R","4","W","61.0","63.0","443.810","443.690","0.082","0.683","0.4832","0.0000","0.0467","0.0000","0.40",""
"374","U1521","A","51","R","2","W","45.0","46.0","450.050","450.050","0.107","0.892","0.5753","0.0000","0.0592","0.0000","0.47",""
"374","U1521","A","52","R","4","W","61.0","63.0","463.080","463.080","0.101","0.842","0.4870","0.0000","0.0477","0.0000","0.39",""
"374","U1521","A","53","R","4","W","66.0","68.0","471.840","471.651","0.111","0.925","0.4324","0.0000","0.0396","0.0000","0.32",""
"374","U1521","A","54","R","2","W","71.0","72.0","479.400","479.296","0.065","0.542","0.4860","0.0000","0.0487","0.0000","0.42",""
"374","U1521","A","55","R","2","W","82.0","83.0","489.110","489.110","1.180","9.833","0.4793","0.0000","0.0513","0.0000","bdl",""
"374","U1521","A","55","R","2","W","82.0","83.0","489.110","489.110","","","0.5587","0.0000","0.0422","0.0000","",""
"374","U1521","A","56","R","2","W","94.0","95.0","498.930","498.930","0.082","0.683","0.4620","0.0000","0.0436","0.0000","0.38",""
"374","U1521","A","57","R","1","W","62.0","63.0","506.720","506.720","0.002","0.017","0.4189","0.0000","0.0447","0.0000","0.42",""
"374","U1521","A","57","R","1","W","62.0","63.0","506.720","506.720","0.0636","0.530","","","","","",""
"374","U1521","A","58","R","1","W","46.0","47.0","516.160","516.160","","","0.3707","0.0000","0.0389","0.0000","",""
"374","U1521","A","58","R","4","W","12.0","13.0","520.030","520.030","0.042","0.350","0.1616","0.0000","0.0399","0.0000","0.12",""
"374","U1521","A","58","R","6","W","23.0","24.0","522.970","522.970","0.037","0.308","0.2763","0.0000","0.0385","0.0000","0.24",""
"374","U1521","A","59","R","1","W","77.0","78.0","526.070","526.070","0.038","0.317","0.4443","0.0000","0.0462","0.0000","0.41",""
"374","U1521","A","60","R","3","W","42.0","43.0","537.700","537.700","0.105","0.875","0.4666","0.0000","0.0357","0.0000","0.36",""
"374","U1521","A","61","R","4","W","52.0","53.0","549.080","548.888","0.004","0.033","0.4869","0.0000","0.0342","0.0000","0.48",""
"374","U1521","A","62","R","4","W","74.0","75.0","558.680","558.680","0.063","0.525","0.4182","0.0000","0.0345","0.0000","0.36",""
"374","U1521","A","63","R","3","W","98.0","99.0","567.630","567.630","0.036","0.300","0.4106","0.0000","0.0582","0.0000","0.37",""
"374","U1521","A","64","R","4","W","71.0","72.0","577.910","577.910","0.184","1.533","0.4767","0.0000","0.0344","0.0000","0.29",""
"374","U1521","A","65","R","3","W","90.0","91.0","586.660","586.660","0.003","0.025","0.5135","0.0000","0.0335","0.0000","0.51",""
"374","U1521","A","66","R","4","W","78.0","80.0","597.380","597.335","0.304","2.533","0.5175","0.0000","0.0444","0.0000","0.21",""
"374","U1521","A","67","R","4","W","55.0","57.0","606.620","606.434","0.316","2.633","0.5611","0.0000","0.0390","0.0000","0.25",""
"374","U1521","A","68","R","4","W","53.0","55.0","616.400","616.400","0.247","2.058","0.6168","0.0000","0.0392","0.0000","0.37",""
"374","U1521","A","69","R","4","W","78.0","80.0","626.170","626.170","0.159","1.325","0.4713","0.0000","0.0364","0.0000","0.31",""
"374","U1521","A","70","R","5","W","45.0","47.0","636.860","636.860","0.005","0.042","0.4709","0.0000","0.0346","0.0000","0.47",""
"374","U1521","A","71","R","3","W","78.0","80.0","643.930","643.930","0.157","1.308","0.5046","0.0000","0.0325","0.0000","0.35",""
