"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CSF-B (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Sulfur (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Sample comments"
"374","U1523","A","1","H","2","W","49.0","50.0","1.990","1.987","0.179","1.492","0.4862","0.0000","0.0107","0.0000","0.31",""
"374","U1523","A","1","H","5","W","19.0","20.0","6.200","6.193","0.100","0.833","0.2694","0.0000","0.0222","0.0000","0.17",""
"374","U1523","A","2","H","1","W","79.0","80.0","9.290","9.290","0.300","2.500","0.6649","0.0000","0.0304","0.0000","0.36",""
"374","U1523","A","2","H","2","W","33.0","34.0","10.340","10.340","0.044","0.367","0.2446","0.0000","0.0154","0.0000","0.20",""
"374","U1523","A","3","H","1","W","55.0","56.0","18.550","18.550","0.172","1.433","0.5394","0.0000","0.0280","0.0000","0.37",""
"374","U1523","A","3","H","2","W","36.0","37.0","19.700","19.700","0.155","1.292","0.6395","0.0000","0.0397","0.0000","0.48",""
"374","U1523","A","4","F","2","W","56.0","57.0","28.570","28.570","0.146","1.217","0.3311","0.0000","0.0187","0.0000","0.19",""
"374","U1523","A","5","F","1","W","61.0","62.0","32.810","32.810","0.118","0.983","0.5205","0.0000","0.0408","0.0000","0.40",""
"374","U1523","A","6","F","1","W","101.0","102.0","37.910","37.902","0.095","0.792","0.5600","0.0000","0.0423","0.0000","0.47",""
"374","U1523","A","6","F","3","W","16.0","17.0","40.060","40.034","0.399","3.325","0.7493","0.0000","0.0080","0.0000","0.35",""
"374","U1523","A","7","F","1","W","63.0","64.0","42.230","42.230","0.112","0.933","0.4858","0.0000","0.0299","0.0000","0.37",""
