Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Top depth CSF-A (m),Top depth CSF-B (m),Treatment type,Treatment value (mT or deg C or Agico code),Inclination (deg),Declination (deg),Inclination geographic (deg),Declination geographic (deg),Total intensity (A/m),Intensity X (A/m),Intensity Y (A/m),Intensity Z (A/m),Azimuth (deg),Dip (deg),Sample type,Remasoft TXT file,Remasoft JR6ODP file,Remasoft JR6 file,Remasoft DAT file,Instrument,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,B,2,H,4,W,110.0,98.72,98.428,AD,40,19.7,240.3,27.8,292.4,0.006588,-3.07E-03,-5.39E-03," 2.22E-03",0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:37:48,CUBE9720541,112863951,,,
379,U1532,B,2,H,4,W,110.0,98.72,98.428,NRM,0,40.9,248.3,16.2,313.0,0.016162,-4.51E-03,-1.13E-02," 1.06E-02",0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:36:39,CUBE9720541,112863051,,,
379,U1532,B,2,H,4,W,110.0,98.72,98.428,AD,25,22.4,246.2,21.9,294.3,0.010093,-3.76E-03,-8.54E-03," 3.85E-03",0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:37:38,CUBE9720541,112863781,,,
379,U1532,B,2,H,4,W,110.0,98.72,98.428,AD,80,35.9,240.5,23.5,309.8,0.001490,-5.95E-04,-1.05E-03," 8.74E-04",0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:38:17,CUBE9720541,112864431,,,
379,U1532,B,2,H,4,W,110.0,98.72,98.428,AD,100,28.3,228.3,35.8,305.7,0.001890,-1.11E-03,-1.24E-03," 8.95E-04",0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:38:40,CUBE9720541,112864791,,,
379,U1532,B,2,H,4,W,110.0,98.72,98.428,AD,60,31.4,243.5,22.4,304.3,0.003930,-1.49E-03,-3.00E-03," 2.05E-03",0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:38:09,CUBE9720541,112864281,,,
379,U1532,B,2,H,4,W,110.0,98.72,98.428,AD,15,21.1,246.7,21.7,292.8,0.014264,-5.27E-03,-1.22E-02," 5.13E-03",0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:37:22,CUBE9720541,112863521,,,
379,U1532,B,2,H,4,W,110.0,98.72,98.428,AD,70,23.7,263.3,6.1,293.9,0.003126,-3.34E-04,-2.84E-03," 1.26E-03",0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:38:11,CUBE9720541,112864321,,,
379,U1532,B,2,H,4,W,110.0,98.72,98.428,AD,20,19.1,246.2,22.4,290.7,0.013141,-5.01E-03,-1.14E-02," 4.30E-03",0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:37:29,CUBE9720541,112863641,,,
379,U1532,B,2,H,4,W,110.0,98.72,98.428,AD,50,27.7,247.9,19.4,299.6,0.004767,-1.59E-03,-3.91E-03," 2.22E-03",0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:38:01,CUBE9720541,112864151,,,
379,U1532,B,2,H,4,W,110.0,98.72,98.428,AD,5,16.3,260.0,9.6,286.5,0.015544,-2.60E-03,-1.47E-02," 4.36E-03",0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:37:05,CUBE9720541,112863271,,,
379,U1532,B,2,H,4,W,110.0,98.72,98.428,AD,30,23.6,243.4,24.2,296.0,0.008898,-3.65E-03,-7.29E-03," 3.56E-03",0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:37:46,CUBE9720541,112863901,,,
379,U1532,B,2,H,4,W,110.0,98.72,98.428,AD,10,19.2,252.1,16.9,290.1,0.015329,-4.45E-03,-1.38E-02," 5.04E-03",0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:37:11,CUBE9720541,112863351,,,
379,U1532,B,2,H,4,W,110.0,98.72,98.428,AD,90,35.9,246.7,18.7,308.3,0.000724,-2.32E-04,-5.39E-04," 4.25E-04",0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:38:24,CUBE9720541,112864561,,,
379,U1532,B,2,H,7,W,36.0,102.44,101.955,AD,80,-2.4,55.7,-34.3,93.0,0.013973," 7.86E-03"," 1.15E-02",-5.97E-04,0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:38:23,CUBE9720551,112864541,,,
379,U1532,B,2,H,7,W,36.0,102.44,101.955,NRM,0,-9.0,48.2,-41.2,102.0,0.140078," 9.23E-02"," 1.03E-01",-2.20E-02,0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:36:43,CUBE9720551,112863071,,,
379,U1532,B,2,H,7,W,36.0,102.44,101.955,AD,5,-9.3,50.5,-38.9,102.0,0.138059," 8.66E-02"," 1.05E-01",-2.24E-02,0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:37:01,CUBE9720551,112863211,,,
379,U1532,B,2,H,7,W,36.0,102.44,101.955,AD,10,-8.8,51.9,-37.6,101.1,0.130004," 7.94E-02"," 1.01E-01",-1.98E-02,0,90,CUBE,379-SPINNER-47935231-U1532B.txt,,379-SPINNER-47935211-U1532B.jr6,,JR6,2019-02-07 13:37:12,CUBE9720551,112863371,,,
