Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Top depth CSF-A (m),Top depth CSF-B (m),Treatment type,Treatment value (mT or deg C or Agico code),Inclination (deg),Declination (deg),Inclination geographic (deg),Declination geographic (deg),Total intensity (A/m),Intensity X (A/m),Intensity Y (A/m),Intensity Z (A/m),Azimuth (deg),Dip (deg),Sample type,Remasoft TXT file,Remasoft JR6ODP file,Remasoft JR6 file,Remasoft DAT file,Instrument,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,D,2,R,2,W,123.0,365.43,365.430,AD,40,6.6,37.9,-51.6,79.3,0.040235," 3.16E-02"," 2.45E-02"," 4.62E-03",0,90,CUBE,379-SPINNER-48016801-U1532D.txt,,379-SPINNER-48016791-U1532D.jr6,,JR6,2019-02-12 06:05:10,CUBE9740451,112910931,,,
379,U1532,D,2,R,2,W,123.0,365.43,365.430,AD,5,7.8,39.9,-49.4,78.0,0.110507," 8.40E-02"," 7.03E-02"," 1.50E-02",0,90,CUBE,379-SPINNER-48016801-U1532D.txt,,379-SPINNER-48016791-U1532D.jr6,,JR6,2019-02-12 06:04:15,CUBE9740451,112910741,,,
379,U1532,D,2,R,2,W,123.0,365.43,365.430,AD,50,7.1,45.1,-44.5,80.0,0.030083," 2.11E-02"," 2.11E-02"," 3.74E-03",0,90,CUBE,379-SPINNER-48016801-U1532D.txt,,379-SPINNER-48016791-U1532D.jr6,,JR6,2019-02-12 06:05:18,CUBE9740451,112910961,,,
379,U1532,D,2,R,2,W,123.0,365.43,365.430,AD,80,-1.0,45.7,-44.3,91.5,0.009193," 6.42E-03"," 6.58E-03",-1.67E-04,0,90,CUBE,379-SPINNER-48016801-U1532D.txt,,379-SPINNER-48016791-U1532D.jr6,,JR6,2019-02-12 06:05:42,CUBE9740451,112911041,,,
379,U1532,D,2,R,2,W,123.0,365.43,365.430,AD,10,8.9,34.9,-54.1,74.7,0.102810," 8.33E-02"," 5.82E-02"," 1.59E-02",0,90,CUBE,379-SPINNER-48016801-U1532D.txt,,379-SPINNER-48016791-U1532D.jr6,,JR6,2019-02-12 06:04:27,CUBE9740451,112910781,,,
379,U1532,D,2,R,2,W,123.0,365.43,365.430,AD,100,-0.8,58.7,-31.3,90.9,0.007281," 3.78E-03"," 6.22E-03",-9.90E-05,0,90,CUBE,379-SPINNER-48016801-U1532D.txt,,379-SPINNER-48016791-U1532D.jr6,,JR6,2019-02-12 06:05:59,CUBE9740451,112911101,,,
379,U1532,D,2,R,2,W,123.0,365.43,365.430,AD,60,12.5,39.9,-48.5,70.9,0.018167," 1.36E-02"," 1.14E-02"," 3.93E-03",0,90,CUBE,379-SPINNER-48016801-U1532D.txt,,379-SPINNER-48016791-U1532D.jr6,,JR6,2019-02-12 06:05:27,CUBE9740451,112910991,,,
379,U1532,D,2,R,2,W,123.0,365.43,365.430,NRM,0,6.0,38.9,-50.7,80.5,0.113087," 8.76E-02"," 7.06E-02"," 1.18E-02",0,90,CUBE,379-SPINNER-48016801-U1532D.txt,,379-SPINNER-48016791-U1532D.jr6,,JR6,2019-02-12 06:04:09,CUBE9740451,112910721,,,
379,U1532,D,2,R,2,W,123.0,365.43,365.430,AD,30,8.5,46.2,-43.2,78.3,0.059179," 4.05E-02"," 4.22E-02"," 8.77E-03",0,90,CUBE,379-SPINNER-48016801-U1532D.txt,,379-SPINNER-48016791-U1532D.jr6,,JR6,2019-02-12 06:04:59,CUBE9740451,112910891,,,
379,U1532,D,2,R,2,W,123.0,365.43,365.430,AD,70,-2.1,35.6,-54.3,93.7,0.011580," 9.40E-03"," 6.74E-03",-4.32E-04,0,90,CUBE,379-SPINNER-48016801-U1532D.txt,,379-SPINNER-48016791-U1532D.jr6,,JR6,2019-02-12 06:05:40,CUBE9740451,112911031,,,
